phase3a_event_id,observational_reference_role,seed_count,seed0_selected,selected_seed_count,classification_state_set,discordant_vs_seed0_count,discordant_vs_seed0_fraction,bic_m0_range,bic_m1_range,bic_m2_range,delta01_range,delta21_range,formal_m1_period_range_s,unique_parameter_payloads_m0,unique_parameter_payloads_m1,unique_parameter_payloads_m2,warning_calls_by_model,bound_calls_by_model,convergence_status_set
F3AE000001,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,2.0463630789890885e-12,2.2355586182243314e-06,0.01168534651738895,2.2355606645874104e-06,0.011686677594120454,0.0013427657675180171,10,10,10,"{""M0"":0,""M1"":0,""M2"":10}","{""M0"":10,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3AE000002,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,1.3997691894473974e-12,0.7099955968444434,1.5529870424633287,0.7099955968446849,1.9618540885343378,66.66534770218217,10,10,10,"{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":8,""M2"":8}",NOT_AUDITABLE
F3AE000003,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,1.6597635266180077e-08,0.3744923411648742,0.9632210305213889,0.37449235734116826,0.9632209332900175,2.045600625969101,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3AE000004,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,6.679101716144942e-13,1.5706698519579732e-07,0.4409614755803162,1.5706699052486783e-07,0.44096154710551616,0.0004465687079786562,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":9,""M2"":4}",NOT_AUDITABLE
F3AE000005,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,8.719259980694005e-09,1.426630849010735e-07,8.091664566833856e-06,1.4673828729883098e-07,8.055648990534792e-06,0.0007922457853339893,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":2,""M1"":2,""M2"":10}",NOT_AUDITABLE
F3AE000006,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,1.0125233984581428e-13,9.475442652728816e-11,0.00034647842336354984,9.481659901666717e-11,0.0003464784327160686,1.3020689507925454e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":10,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3AE000007,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,2.842170943040401e-14,1.9343636611687458,0.0038411270237777018,1.9343636611687494,1.9381995838200279,10.6720999705134,10,10,10,"{""M0"":0,""M1"":0,""M2"":6}","{""M0"":10,""M1"":10,""M2"":10}",NOT_AUDITABLE
F3AE000008,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,1.4993695174325694e-09,1.4767802625215154e-07,0.1886225159826438,1.4881795351584515e-07,0.1886225184610275,0.0038594687179198672,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":10,""M1"":10,""M2"":3}",NOT_AUDITABLE
F3AE000009,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,3.0446756227320293e-12,1.2196985821333328e-07,3.7541099118243437e-07,1.2196967702493566e-07,2.536680270281977e-07,0.0010355236084649277,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":10,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3AE000010,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,8.775202786637237e-13,1.7221327102134865e-05,0.8260186414350379,1.7221327286875976e-05,0.8260355107337212,0.0005824747517877427,10,10,10,"{""M0"":0,""M1"":0,""M2"":2}","{""M0"":0,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3AE000011,PUBLISHED_QPP_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,3.0482283364108298e-12,4.19787261815247,0.48566088397316065,4.1978726181523704,4.198031040944475,52.3625756531154,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":1,""M2"":4}",NOT_AUDITABLE
F3AE000012,PUBLISHED_NOT_SELECTED_REFERENCE,10,false,0,NOT_SELECTED,0,0.0,3.268496584496461e-12,2.2002330979375984e-07,0.0990328244084111,2.2002050314995358e-07,0.09903290080409022,0.001234374393249027,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":10,""M2"":9}",NOT_AUDITABLE
