phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,materialization_status,inadmissibility_reason,baseline_gate_state,baseline_qpp_selected,variant_decision_available,variant_qpp_selected,transition_eligible,classification_transition,classification_concordant_with_baseline,formal_m1_period_s,period_role
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,63.118929125522094,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000002,F3AC002,W00,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,62.46757351424909,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000003,F3AC003,W00,P02,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,REFERENCE_BASELINE_MISMATCH,false,false,,false,,,,
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000004,F3AC004,W00,P03,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,REFERENCE_BASELINE_MISMATCH,false,false,,false,,,,
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000005,F3AC005,W00,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,63.0718510855943,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000006,F3AC006,W00,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,56.840837830781844,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000007,F3AC007,WSm2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,63.355292666894506,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000008,F3AC008,WSm2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,62.52191302012942,formal_m1_center_not_selected
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000009,F3AC009,WSm2,P02,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,REFERENCE_BASELINE_MISMATCH,false,false,,false,,,,
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000010,F3AC010,WSm2,P03,INPUT_INADMISSIBLE,IRREGULAR_SAMPLING,REFERENCE_BASELINE_MISMATCH,false,false,,false,,,,
