processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts,independent_observations,repeated_measure_unit
P00,PUBLISHED_NOT_SELECTED_REFERENCE,,793,697,96,0,57,695,0,0,695,0,695,695,1.0,"{""PEAK_OUTSIDE_WINDOW"":13,""TOO_FEW_CADENCES"":82,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P00,PUBLISHED_QPP_REFERENCE,,793,731,62,0,8,98,83,15,0,0,83,98,0.8469387755102041,"{""PEAK_OUTSIDE_WINDOW"":10,""TOO_FEW_CADENCES"":52}",false,phase3a_event_id
P01,PUBLISHED_NOT_SELECTED_REFERENCE,,793,697,96,0,57,695,0,0,695,0,695,695,1.0,"{""PEAK_OUTSIDE_WINDOW"":13,""TOO_FEW_CADENCES"":82,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P01,PUBLISHED_QPP_REFERENCE,,793,731,62,0,8,98,49,49,0,0,49,98,0.5,"{""PEAK_OUTSIDE_WINDOW"":10,""TOO_FEW_CADENCES"":52}",false,phase3a_event_id
P02,PUBLISHED_NOT_SELECTED_REFERENCE,,793,200,593,0,57,199,0,0,199,0,199,199,1.0,"{""IRREGULAR_SAMPLING"":428,""PEAK_OUTSIDE_WINDOW"":13,""PEAK_REMOVED_BY_QUALITY"":65,""TOO_FEW_CADENCES"":86,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P02,PUBLISHED_QPP_REFERENCE,,793,155,638,0,8,37,25,12,0,0,25,37,0.6756756756756757,"{""IRREGULAR_SAMPLING"":484,""PEAK_OUTSIDE_WINDOW"":10,""PEAK_REMOVED_BY_QUALITY"":76,""TOO_FEW_CADENCES"":68}",false,phase3a_event_id
P03,PUBLISHED_NOT_SELECTED_REFERENCE,,793,200,593,0,57,199,0,0,199,0,199,199,1.0,"{""IRREGULAR_SAMPLING"":428,""PEAK_OUTSIDE_WINDOW"":13,""PEAK_REMOVED_BY_QUALITY"":65,""TOO_FEW_CADENCES"":86,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P03,PUBLISHED_QPP_REFERENCE,,793,155,638,0,8,37,16,21,0,0,16,37,0.43243243243243246,"{""IRREGULAR_SAMPLING"":484,""PEAK_OUTSIDE_WINDOW"":10,""PEAK_REMOVED_BY_QUALITY"":76,""TOO_FEW_CADENCES"":68}",false,phase3a_event_id
P04,PUBLISHED_NOT_SELECTED_REFERENCE,,793,697,96,0,57,695,0,0,695,0,695,695,1.0,"{""PEAK_OUTSIDE_WINDOW"":13,""TOO_FEW_CADENCES"":82,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P04,PUBLISHED_QPP_REFERENCE,,793,731,62,0,8,98,73,25,0,0,73,98,0.7448979591836735,"{""PEAK_OUTSIDE_WINDOW"":10,""TOO_FEW_CADENCES"":52}",false,phase3a_event_id
P05,PUBLISHED_NOT_SELECTED_REFERENCE,,793,697,96,0,57,695,0,0,695,0,695,695,1.0,"{""PEAK_OUTSIDE_WINDOW"":13,""TOO_FEW_CADENCES"":82,""WINDOW_OUT_OF_RANGE"":1}",false,phase3a_event_id
P05,PUBLISHED_QPP_REFERENCE,,793,731,62,0,8,98,49,49,0,0,49,98,0.5,"{""PEAK_OUTSIDE_WINDOW"":10,""TOO_FEW_CADENCES"":52}",false,phase3a_event_id
