phase3a_event_id,pair_id,observational_reference_role,baseline_variant_id,baseline_materialization_status,baseline_inadmissibility_reason,baseline_decision_available,baseline_qpp_selected,expected_reference_selection_state,baseline_gate_state
F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000003,F3AP0002,PUBLISHED_QPP_REFERENCE,F3AV000157,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000004,F3AP0002,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000235,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000005,F3AP0003,PUBLISHED_QPP_REFERENCE,F3AV000313,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000006,F3AP0003,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000391,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000007,F3AP0004,PUBLISHED_QPP_REFERENCE,F3AV000469,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000008,F3AP0004,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000547,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000009,F3AP0005,PUBLISHED_QPP_REFERENCE,F3AV000625,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000010,F3AP0005,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000703,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,F3AV000781,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000012,F3AP0006,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000859,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000013,F3AP0007,PUBLISHED_QPP_REFERENCE,F3AV000937,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000014,F3AP0007,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001015,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000015,F3AP0008,PUBLISHED_QPP_REFERENCE,F3AV001093,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000016,F3AP0008,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001171,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000017,F3AP0009,PUBLISHED_QPP_REFERENCE,F3AV001249,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000018,F3AP0009,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001327,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000019,F3AP0010,PUBLISHED_QPP_REFERENCE,F3AV001405,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000020,F3AP0010,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001483,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000021,F3AP0011,PUBLISHED_QPP_REFERENCE,F3AV001561,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000022,F3AP0011,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001639,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000023,F3AP0012,PUBLISHED_QPP_REFERENCE,F3AV001717,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000024,F3AP0012,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001795,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000025,F3AP0013,PUBLISHED_QPP_REFERENCE,F3AV001873,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000026,F3AP0013,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV001951,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000027,F3AP0014,PUBLISHED_QPP_REFERENCE,F3AV002029,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000028,F3AP0014,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002107,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000029,F3AP0015,PUBLISHED_QPP_REFERENCE,F3AV002185,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000030,F3AP0015,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002263,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000031,F3AP0016,PUBLISHED_QPP_REFERENCE,F3AV002341,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000032,F3AP0016,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002419,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000033,F3AP0017,PUBLISHED_QPP_REFERENCE,F3AV002497,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000034,F3AP0017,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002575,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000035,F3AP0018,PUBLISHED_QPP_REFERENCE,F3AV002653,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000036,F3AP0018,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002731,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000037,F3AP0019,PUBLISHED_QPP_REFERENCE,F3AV002809,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000038,F3AP0019,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV002887,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
