matrix_cell_id,window_variant_id,processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts
F3AC001,W00,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC001,W00,P00,PUBLISHED_QPP_REFERENCE,61,,59,2,0,8,8,8,0,0,0,8,8,1.0,"{""TOO_FEW_CADENCES"":2}"
F3AC002,W00,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC002,W00,P01,PUBLISHED_QPP_REFERENCE,61,,59,2,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":2}"
F3AC003,W00,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":33,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":6}"
F3AC003,W00,P02,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,3,0,0,0,3,3,1.0,"{""IRREGULAR_SAMPLING"":37,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":6}"
F3AC004,W00,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,17,44,0,57,17,0,0,17,0,17,17,1.0,"{""IRREGULAR_SAMPLING"":33,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":6}"
F3AC004,W00,P03,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,1,2,0,0,1,3,0.3333333333333333,"{""IRREGULAR_SAMPLING"":37,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":6}"
F3AC005,W00,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC005,W00,P04,PUBLISHED_QPP_REFERENCE,61,,59,2,0,8,8,7,1,0,0,7,8,0.875,"{""TOO_FEW_CADENCES"":2}"
F3AC006,W00,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC006,W00,P05,PUBLISHED_QPP_REFERENCE,61,,59,2,0,8,8,4,4,0,0,4,8,0.5,"{""TOO_FEW_CADENCES"":2}"
F3AC007,WSm2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
F3AC007,WSm2,P00,PUBLISHED_QPP_REFERENCE,61,,60,1,0,8,8,7,1,0,0,7,8,0.875,"{""TOO_FEW_CADENCES"":1}"
F3AC008,WSm2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,57,4,0,57,57,0,0,57,0,57,57,1.0,"{""TOO_FEW_CADENCES"":4}"
