window_variant_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts,independent_observations,repeated_measure_unit
W00,PUBLISHED_NOT_SELECTED_REFERENCE,,366,262,104,0,57,262,0,0,262,0,262,262,1.0,"{""IRREGULAR_SAMPLING"":66,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":28}",false,phase3a_event_id
W00,PUBLISHED_QPP_REFERENCE,,366,260,106,0,8,38,27,11,0,0,27,38,0.7105263157894737,"{""IRREGULAR_SAMPLING"":74,""PEAK_REMOVED_BY_QUALITY"":12,""TOO_FEW_CADENCES"":20}",false,phase3a_event_id
WC1,PUBLISHED_NOT_SELECTED_REFERENCE,,366,232,134,0,57,232,0,0,232,0,232,232,1.0,"{""IRREGULAR_SAMPLING"":62,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":62}",false,phase3a_event_id
WC1,PUBLISHED_QPP_REFERENCE,,366,236,130,0,8,34,25,9,0,0,25,34,0.7352941176470589,"{""IRREGULAR_SAMPLING"":70,""PEAK_REMOVED_BY_QUALITY"":12,""TOO_FEW_CADENCES"":48}",false,phase3a_event_id
WC2,PUBLISHED_NOT_SELECTED_REFERENCE,,366,188,178,0,57,188,0,0,188,0,188,188,1.0,"{""IRREGULAR_SAMPLING"":56,""PEAK_OUTSIDE_WINDOW"":36,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":70,""WINDOW_OUT_OF_RANGE"":6}",false,phase3a_event_id
WC2,PUBLISHED_QPP_REFERENCE,,366,208,158,0,8,34,17,17,0,0,17,34,0.5,"{""IRREGULAR_SAMPLING"":58,""PEAK_OUTSIDE_WINDOW"":30,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":60}",false,phase3a_event_id
WEm1,PUBLISHED_NOT_SELECTED_REFERENCE,,366,244,122,0,57,244,0,0,244,0,244,244,1.0,"{""IRREGULAR_SAMPLING"":64,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":48}",false,phase3a_event_id
WEm1,PUBLISHED_QPP_REFERENCE,,366,244,122,0,8,34,21,13,0,0,21,34,0.6176470588235294,"{""IRREGULAR_SAMPLING"":70,""PEAK_REMOVED_BY_QUALITY"":12,""TOO_FEW_CADENCES"":40}",false,phase3a_event_id
WEm2,PUBLISHED_NOT_SELECTED_REFERENCE,,366,232,134,0,57,232,0,0,232,0,232,232,1.0,"{""IRREGULAR_SAMPLING"":62,""PEAK_REMOVED_BY_QUALITY"":10,""TOO_FEW_CADENCES"":62}",false,phase3a_event_id
WEm2,PUBLISHED_QPP_REFERENCE,,366,236,130,0,8,34,25,9,0,0,25,34,0.7352941176470589,"{""IRREGULAR_SAMPLING"":70,""PEAK_REMOVED_BY_QUALITY"":12,""TOO_FEW_CADENCES"":48}",false,phase3a_event_id
