evidence_id,evidence_plane,split,fact,numerator,denominator,point_estimate,interval_95,source_artifact,source_sha256,interpretation
E001,F3B_DEVELOPMENT_SYNTHETIC,DEVELOPMENT,Frozen baseline confusion matrix,143 TP; 1657 FN; 1799 TN; 1 FP,1800 positive; 1800 null,,,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,718f1a03af218da8a3bc52cdea9f8007f7b3dffc3477038a5577eef0f162250c,Synthetic-ground-truth DEVELOPMENT characterization only.
E002,F3B_DEVELOPMENT_SYNTHETIC,DEVELOPMENT,Baseline sensitivity,143,1800,0.07944444444444444,"[0.06782821927072591, 0.09285189893111712]",workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,718f1a03af218da8a3bc52cdea9f8007f7b3dffc3477038a5577eef0f162250c,Synthetic-domain sensitivity; not observational.
E003,F3B_DEVELOPMENT_SYNTHETIC,DEVELOPMENT,Baseline specificity,1799,1800,0.9994444444444445,"[0.9968597321206145, 0.9999019240703273]",workflows/phase3b/development/analysis/f3b4_baseline_metrics.json,718f1a03af218da8a3bc52cdea9f8007f7b3dffc3477038a5577eef0f162250c,Synthetic-domain specificity; not observational.
E004,F3B_DEVELOPMENT_GATE,DEVELOPMENT,Candidate promotion,3 criteria passed,4 required,NOT_PROMOTED,,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json,f47b2b03aff0d60d8dbce040d7298d1904295552f610cdf92bba6a48f6eddbf9,Candidate failed C4 specificity-preservation criterion; alternate search forbidden.
E005,F3B_FINAL_RULE,PRE_HELDOUT_FREEZE,Frozen final rule,,,delta_BIC01 > 10 AND delta_BIC21 > 10,,workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,e2faffdbb15d6e0fec52ff166e81a2ed58f5665d7d3f9dc43cb8b78f5c0a198c,AFINO 0.5 baseline; strict greater-than; t01=t21=10.
E006,F3B_HELDOUT_SYNTHETIC,HELDOUT,Frozen baseline confusion matrix,152 TP; 1648 FN; 1800 TN; 0 FP,1800 positive; 1800 null,,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,2d69eb0bea19edea244721065b34e995b26b9b9665174b0f63d8e14de8516730,Independent single-use HELDOUT synthetic-ground-truth characterization.
E007,F3B_HELDOUT_SYNTHETIC,HELDOUT,Sensitivity,152,1800,0.08444444444444445,"[0.07246744846806605, 0.0981913737445873]",workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,2d69eb0bea19edea244721065b34e995b26b9b9665174b0f63d8e14de8516730,Independent synthetic HELDOUT sensitivity.
E008,F3B_HELDOUT_SYNTHETIC,HELDOUT,Specificity,1800,1800,1.0,"[0.997870401081032, 1.0]",workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,2d69eb0bea19edea244721065b34e995b26b9b9665174b0f63d8e14de8516730,1800/1800 synthetic null rejection with finite-sample Wilson uncertainty.
E009,F3B_HELDOUT_SYNTHETIC,HELDOUT,False-positive rate,0,1800,0.0,"[2.168404344971009e-19, 0.002129598918967953]",workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,2d69eb0bea19edea244721065b34e995b26b9b9665174b0f63d8e14de8516730,Zero observed false selections does not establish population FPR=0.
E010,F3B_SELECTION_FUNCTION,DEVELOPMENT,DEVELOPMENT selection rows,156,,STRATIFIED_EMPIRICAL,,workflows/phase3b/development/analysis/f3b4_selection_function.csv,4ddd79d8a6c8778c56f3f7c78ce89e1f80d9404bc43e3e7cb892c8caf2fa2933,DEVELOPMENT retained for descriptive comparison only.
E011,F3B_SELECTION_FUNCTION,HELDOUT,Final selection rows,156,,HELDOUT_PRIMARY_FINAL,,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,fe8654481c83f23c9ebc276a84455d0c2f6de55d9e76011d1199cafa43a30509,Final manuscript surface is independent HELDOUT; no pooling or smoothing.
E012,F3B_SELECTION_FUNCTION,HELDOUT,Structural no-exposure cells,9,156,STRUCTURAL_NO_EXPOSURE,,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv,fe8654481c83f23c9ebc276a84455d0c2f6de55d9e76011d1199cafa43a30509,Structurally impossible cells are not empirical zeros.
E013,F3B_PERIOD_RECOVERY,DEVELOPMENT,Period-recovery rows,143,1800 eligible positives,,,workflows/phase3b/development/analysis/f3b4_period_recovery.csv,b3a138fe9ca2c32c618b8e0d3622f9c2503fe78e955a18f60f524dc99609f65b,Conditional on selected true positives with finite recovered period.
E014,F3B_PERIOD_RECOVERY,HELDOUT,Period-recovery rows,152,1800 eligible positives,,,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_period_recovery.csv,a7f1ab028d80e8a4c64b16e1f791f7c565b7021dcda5de50ec6bf9524bbe493c,Conditional period accuracy does not imply high selection sensitivity.
E015,F3B_PERIOD_RECOVERY,HELDOUT,Period estimate coverage,152,1800,0.08444444444444445,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_period_recovery_summary.json,12562c0a689d9935ee399846a57f1b020924bf16488651943ef39ca406b02710,Coverage remains low because selection sensitivity is low.
E016,F3B_SINGLE_USE_GOVERNANCE,HELDOUT,Single-use consumption,,,CONSUMED,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_single_use_evaluation_audit.json,79d64e01f4ab677769795d11f49a3ffaa392e6c9aa8bd9fc1b9d09b9d7bbe692,HELDOUT cannot be reused for threshold/rule development.
E017,F3B_HELDOUT_GATE,HELDOUT,Validation gate,,,HELDOUT_BASELINE_CHARACTERIZATION_SUCCESS,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_validation_gate.json,d8371c308af9e8816a183aecb1078608905e1d39c21e68b2fe1fae3f3de3e7fe,Complete baseline characterization; no minimum performance threshold in BASELINE_ONLY.
E018,F3B_CLAIM_BOUNDARY,PHASE3B,Correction claim,,,NOT_ESTABLISHED,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_validation_gate.json,d8371c308af9e8816a183aecb1078608905e1d39c21e68b2fe1fae3f3de3e7fe,Population/observational correction remains outside Phase 3B.
E019,F3B_TRUTH_JOIN,HELDOUT,Single-use truth join,3600 primary joined; 720 challenges audited,4320 HELDOUT series,COMPLETE,,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_truth_join_audit.csv,ccb757229615dc53d1a2e4d9a18a70d10e359f5fd4c648a75758b199fa8a6220,Classifier decisions exist only for the 3600 primary classifier-plane series.
E020,F3B_SYNTHETIC_VALIDATION,PHASE3B,Synthetic validation component,,,COMPLETE,,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_validation_gate.json,d8371c308af9e8816a183aecb1078608905e1d39c21e68b2fe1fae3f3de3e7fe,Synthetic-ground-truth component is complete for Manuscript 1.
