simulation_unit_id,background_realization_id,split,truth_state,evidence_plane,gap_quality_regime,primary_metric_eligible_by_design,n_samples,duration_s,red_noise_alpha,positive_pair_qpp_fraction,true_period_sampling_spec,true_period_materialized,background_noise_materialized,synthetic_series_materialized,afino_execution_allowed_now,heldout_access_allowed_now,split_rank_sha256,challenge_rank_sha256
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,121243257c10ef59f05ed18f5ae799cf5a0568e894f7672caf7fddd20f174d67,aeebf2cfd161cba46f9622a4dfe8e7a12db7e9bf7b6f6b917b6987296519b175
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,121243257c10ef59f05ed18f5ae799cf5a0568e894f7672caf7fddd20f174d67,aeebf2cfd161cba46f9622a4dfe8e7a12db7e9bf7b6f6b917b6987296519b175
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3BBG_N015_A0_Q001_R002,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,b7e1f2c7d4d2ae7389a4b2de977bce2ad46184ecb7b2d91d5bb0b9e8157e6220,c0cb20c1a024ec9ff75447e878c2e578ff5f07cd7e29b5a0a18ab6b3a1f6665e
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3BBG_N015_A0_Q001_R002,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,b7e1f2c7d4d2ae7389a4b2de977bce2ad46184ecb7b2d91d5bb0b9e8157e6220,c0cb20c1a024ec9ff75447e878c2e578ff5f07cd7e29b5a0a18ab6b3a1f6665e
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,NOT_APPLICABLE,2f3c03338011a5ca2ee80c29502a25cf404dc5d72b6aad8b2bb987949ece6fbe,b353a457a5af1aa852c63afddb6f6262119e904a79574c931ee04e638c20d671
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3BBG_N015_A0_Q001_R003,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,NOT_APPLICABLE,2f3c03338011a5ca2ee80c29502a25cf404dc5d72b6aad8b2bb987949ece6fbe,b353a457a5af1aa852c63afddb6f6262119e904a79574c931ee04e638c20d671
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3BBG_N015_A0_Q001_R004,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,cda03e70af5d696454e4df21e9dcf651845c53e1729d66b857a39f068d1da17a,92e48d673414907290e32d9cbd8fd5abb359d52d7d322ca9e95f17003442468a
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3BBG_N015_A0_Q001_R004,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,cda03e70af5d696454e4df21e9dcf651845c53e1729d66b857a39f068d1da17a,92e48d673414907290e32d9cbd8fd5abb359d52d7d322ca9e95f17003442468a
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3BBG_N015_A0_Q001_R005,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,NOT_APPLICABLE,false,false,false,false,false,e2c72d200c3182e5ef354b666e05eda8166db13191fc8f14bcb491ba33f85f21,61a2f49e9e73fe7e74b172d7c7da2d64773e89d8476ee18bbd8a142278b8e052
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3BBG_N015_A0_Q001_R005,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,true,15,280.0,0.0,0.01,LOG_UNIFORM_40_300_S_CONDITIONAL_ON_duration_over_period_GE_3,false,false,false,false,false,e2c72d200c3182e5ef354b666e05eda8166db13191fc8f14bcb491ba33f85f21,61a2f49e9e73fe7e74b172d7c7da2d64773e89d8476ee18bbd8a142278b8e052
