simulation_unit_id,planned_decision_id,background_realization_id,truth_state,qpp_selected,delta_bic_0_1,delta_bic_2_1,baseline_threshold_01,baseline_threshold_21,baseline_comparison,baseline_selected_recomputed,baseline_rule_agreement,classification_outcome,input_state,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,evaluation_scope
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3B2D000001,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_ABSENT,False,-5.542098961643449,-1.896418560337234,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3B2D000002,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_PRESENT,False,-5.573442333044614,-1.9235069561532887,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,81.83938382810499,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3B2D000003,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_ABSENT,False,-5.442949730433055,-1.8847454067109721,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3B2D000004,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_PRESENT,False,-5.515908088391308,-1.9437436740667264,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,47.458101763221514,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3B2D000005,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_ABSENT,False,-5.635938316081443,-1.9340593861246207,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3B2D000006,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_PRESENT,False,-5.675479287680444,-1.9548651787762603,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,93.1827928671223,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3B2D000007,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_ABSENT,False,-5.36611796877223,-1.9208616076521094,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3B2D000008,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_PRESENT,False,-5.480085680184068,-1.911254293949768,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,69.83955191667869,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3B2D000009,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_ABSENT,False,-5.6089572186692,-1.8877347711273034,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3B2D000010,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_PRESENT,False,-5.580145177423841,-1.9264471212031102,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,44.45029827576913,TARGET_OR_EVALUATION_AXIS_ONLY,DEVELOPMENT_BASELINE_SEED0
