simulation_unit_id,background_realization_id,seed_count,seed0_selected,selected_seed_count,classification_state_set,discordant_vs_seed0_count,discordant_vs_seed0_fraction,bic_m0_range,bic_m1_range,bic_m2_range,delta01_range,delta21_range,formal_m1_center_range,formal_m1_period_range_s_when_defined,unique_parameter_payloads_m0,unique_parameter_payloads_m1,unique_parameter_payloads_m2,warning_calls_by_model,warning_count_by_model,bound_calls_by_model,convergence_status_set
F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,10,false,0,NOT_SELECTED,0,0.0,1.0622613899613498e-12,0.04109769995663726,0.1591769872751474,0.041097699956745615,0.20027222648399778,0.32652107287026766,63.29726118164882,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":2,""M2"":0}",NOT_AUDITABLE
F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,10,false,0,NOT_SELECTED,0,0.0,2.2026824808563106e-13,0.010857144076418024,0.22378470835649367,0.01085714407643934,0.2345810613648549,0.485620424435532,91.40692426548574,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":1,""M2"":1}",NOT_AUDITABLE
F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,10,false,0,NOT_SELECTED,0,0.0,9.983125437429408e-13,3.865662365498679e-05,0.28156324609218686,3.865662332636077e-05,0.2815895935007511,0.13171029439476545,18.161900872223043,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":23}","{""M0"":0,""M1"":0,""M2"":1}",NOT_AUDITABLE
F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,10,false,0,NOT_SELECTED,0,0.0,2.255973186038318e-13,0.00394736199978496,0.39373077344409957,0.003947361999919963,0.39767790688327587,0.18789643597995997,29.16927400967458,10,10,10,"{""M0"":0,""M1"":0,""M2"":3}","{""M0"":0,""M1"":0,""M2"":13}","{""M0"":0,""M1"":8,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,10,false,0,NOT_SELECTED,0,0.0,3.9257486150745535e-13,0.008795558697576311,0.24340680614510468,0.00879555869756743,0.2504223078214505,0.600108675287844,106.72200993324208,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":17}","{""M0"":0,""M1"":6,""M2"":5}",NOT_AUDITABLE
F3BBG_N015_A0_Q004_R054:POS:PRIMARY,F3BBG_N015_A0_Q004_R054,10,false,0,NOT_SELECTED,0,0.0,4.588329716170847e-12,8.779004190273554e-08,0.10287004569764235,8.778961380073724e-08,0.10287010981441647,3.859931959127039e-05,0.0021347205912860545,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":1,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A1_Q001_R004:NULL:PRIMARY,F3BBG_N015_A1_Q001_R004,10,false,0,NOT_SELECTED,0,0.0,2.021494083237485e-12,2.074463813173111e-06,0.3014459509580085,2.0744637918568287e-06,0.3014459507965501,1.2130733214377187e-05,0.001853735469609319,10,10,10,"{""M0"":0,""M1"":0,""M2"":3}","{""M0"":0,""M1"":0,""M2"":52}","{""M0"":0,""M1"":10,""M2"":1}",NOT_AUDITABLE
F3BBG_N015_A1_Q001_R004:POS:PRIMARY,F3BBG_N015_A1_Q001_R004,10,false,0,NOT_SELECTED,0,0.0,1.7763568394002505e-12,0.0002858747473482026,0.2520337658855496,0.0002858747470639855,0.2523056614405146,0.1454619086676887,19.997980988731854,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":17}","{""M0"":0,""M1"":0,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A1_Q002_R054:NULL:PRIMARY,F3BBG_N015_A1_Q002_R054,10,false,0,NOT_SELECTED,0,0.0,2.7551294579097885e-12,1.4288665095563147e-06,0.2126825036049933,1.4288669021311762e-06,0.21268277546814396,0.029496400864348793,3.7033895731212,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":1}",NOT_AUDITABLE
F3BBG_N015_A1_Q002_R054:POS:PRIMARY,F3BBG_N015_A1_Q002_R054,10,false,0,NOT_SELECTED,0,0.0,3.916866830877552e-12,2.2872734994905386e-07,0.16268536069573614,2.2872751692659676e-07,0.1626853005417388,1.956789216794874e-05,0.0009414328375214609,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":10,""M2"":1}",NOT_AUDITABLE
F3BBG_N015_A1_Q004_R035:NULL:PRIMARY,F3BBG_N015_A1_Q004_R035,10,false,0,NOT_SELECTED,0,0.0,4.2099657093785936e-13,9.357957075906143e-08,0.195229675072234,9.357931496367655e-08,0.1952297676080672,8.284176515171993e-05,0.012129299424145756,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":10,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A1_Q004_R035:POS:PRIMARY,F3BBG_N015_A1_Q004_R035,10,false,0,NOT_SELECTED,0,0.0,1.5355388072180176e-08,2.806091892182394e-08,0.05866378362908087,3.979865503822566e-08,0.05866378997705901,3.468288920327467e-05,0.005709846817723019,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":2,""M1"":10,""M2"":0}",NOT_AUDITABLE
F3BBG_N015_A2_Q001_R031:NULL:PRIMARY,F3BBG_N015_A2_Q001_R031,10,false,0,NOT_SELECTED,0,0.0,5.968558980384842e-13,0.0004579856142967742,0.20756900401009837,0.00045798561447263353,0.2080269548869076,0.2601035284424267,38.97495850852181,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":17}","{""M0"":0,""M1"":0,""M2"":0}",NOT_AUDITABLE
F3BBG_N015_A2_Q001_R031:POS:PRIMARY,F3BBG_N015_A2_Q001_R031,10,false,0,NOT_SELECTED,0,0.0,1.0178524689763435e-12,0.00098707527957842,0.23363743946024584,0.0009870752805163363,0.2346180503426485,0.3700706649865637,57.56004433096135,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":6,""M2"":2}",NOT_AUDITABLE
F3BBG_N015_A2_Q002_R044:NULL:PRIMARY,F3BBG_N015_A2_Q002_R044,10,false,0,NOT_SELECTED,0,0.0,1.2683187833317788e-12,0.0023413289653433367,0.21109960246343995,0.0023413289653522185,0.21339804281739738,0.18968896731992668,29.402061045925933,10,10,10,"{""M0"":0,""M1"":0,""M2"":1}","{""M0"":0,""M1"":0,""M2"":17}","{""M0"":0,""M1"":0,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A2_Q002_R044:POS:PRIMARY,F3BBG_N015_A2_Q002_R044,10,false,0,NOT_SELECTED,0,0.0,2.4868995751603507e-12,0.0007849521314593488,0.13705913446646178,0.0007849521317897512,0.1378440865917181,0.0322845071104263,7.0565795598815555,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":3}",NOT_AUDITABLE
F3BBG_N015_A2_Q004_R076:NULL:PRIMARY,F3BBG_N015_A2_Q004_R076,10,false,0,NOT_SELECTED,0,0.0,2.568611989772762e-12,3.290470651506894e-08,0.19331762444017642,3.290499428487692e-08,0.19331765726846406,0.21891729398070847,36.17842866056566,10,10,10,"{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":0,""M2"":0}","{""M0"":0,""M1"":2,""M2"":2}",NOT_AUDITABLE
F3BBG_N015_A2_Q004_R076:POS:PRIMARY,F3BBG_N015_A2_Q004_R076,10,false,0,NOT_SELECTED,0,0.0,6.679101716144942e-12,5.183118947371668e-07,0.47928351353459675,5.183119196061625e-07,0.47928363456500556,0.0328538592083909,1.4320306780029668,10,10,10,"{""M0"":0,""M1"":0,""M2"":6}","{""M0"":0,""M1"":0,""M2"":39}","{""M0"":0,""M1"":1,""M2"":4}",NOT_AUDITABLE
F3BBG_N030_A0_Q001_R005:NULL:PRIMARY,F3BBG_N030_A0_Q001_R005,10,false,0,NOT_SELECTED,0,0.0,1.8260948309034575e-12,6.202495086427007e-07,0.11902887925228356,6.202497999652223e-07,0.11902914538595866,2.9718118783605973e-05,0.0013297370583131851,10,10,10,"{""M0"":0,""M1"":0,""M2"":3}","{""M0"":0,""M1"":0,""M2"":7}","{""M0"":0,""M1"":1,""M2"":10}",NOT_AUDITABLE
F3BBG_N030_A0_Q001_R005:POS:PRIMARY,F3BBG_N030_A0_Q001_R005,10,false,0,NOT_SELECTED,0,0.0,7.389644451905042e-12,1.1371333670240347e-06,0.12369451990438307,1.1371336654519837e-06,0.1236948337488073,5.298391348418363e-05,0.002429978750107864,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":70}","{""M0"":0,""M1"":2,""M2"":4}",NOT_AUDITABLE
