replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
0,36,1800,1800,1800,6ef60371ee2655f876ed64f5b730236c237b580dc9ba7b0155e9200e21ce4b79,129,1671,1800,0,1159,641,1113,687,0.07166666666666667,0.6438888888888888,0.5722222222222222,1.0,0.6183333333333333,-0.3816666666666667,0.0,0.38166666666666665,0.38166666666666665,0.5358333333333334,0.6311111111111111,0.09527777777777768
1,36,1800,1800,1800,db492397279dd038314aceb9e667db041917cbcf342c84e8ad87da9fcce6ac81,138,1662,1798,2,1201,599,1093,707,0.07666666666666666,0.6672222222222223,0.5905555555555556,0.9988888888888889,0.6072222222222222,-0.3916666666666667,0.0011111111111111111,0.3927777777777778,0.39166666666666666,0.5377777777777778,0.6372222222222222,0.09944444444444445
2,36,1800,1800,1800,4285e5a5932c61747f1ca5caad7631b42337406f9c07f3b42d13e963bfa0d4f6,139,1661,1798,2,1137,663,1118,682,0.07722222222222222,0.6316666666666667,0.5544444444444445,0.9988888888888889,0.6211111111111111,-0.3777777777777779,0.0011111111111111111,0.3788888888888889,0.37777777777777777,0.5380555555555556,0.6263888888888889,0.08833333333333326
3,36,1800,1800,1800,59c3c361a02b138386a932362b612e625e2c61dcdb3501fadf3d48996d507987,145,1655,1798,2,1159,641,1127,673,0.08055555555555556,0.6438888888888888,0.5633333333333332,0.9988888888888889,0.6261111111111111,-0.3727777777777779,0.0011111111111111111,0.3738888888888889,0.37277777777777776,0.5397222222222222,0.635,0.0952777777777778
4,36,1800,1800,1800,029e30a1b05220581a0c28e5333df2e8478a805dd6bbb62524d1c6758896c0e9,154,1646,1797,3,1191,609,1096,704,0.08555555555555555,0.6616666666666666,0.576111111111111,0.9983333333333333,0.6088888888888889,-0.38944444444444437,0.0016666666666666668,0.39111111111111113,0.3894444444444445,0.5419444444444445,0.6352777777777778,0.09333333333333338
5,36,1800,1800,1800,b7745a810895826808100cbf005d8dcb4b5ad66f365fbe460c4f3fb5a74a2a22,138,1662,1799,1,1156,644,1112,688,0.07666666666666666,0.6422222222222222,0.5655555555555556,0.9994444444444445,0.6177777777777778,-0.3816666666666667,0.0005555555555555556,0.38222222222222224,0.3816666666666667,0.5380555555555555,0.63,0.0919444444444445
6,36,1800,1800,1800,d509603e99e3497440d2d123015eeca9c8aa0547e74a62d1ee3a2005512f4963,159,1641,1798,2,1161,639,1133,667,0.08833333333333333,0.645,0.5566666666666666,0.9988888888888889,0.6294444444444445,-0.36944444444444446,0.0011111111111111111,0.3705555555555556,0.36944444444444446,0.5436111111111112,0.6372222222222222,0.09361111111111109
7,36,1800,1800,1800,0e683dd5598a0b5bd3cefa19e860d19a2b1d0ae6f2bacf6914d9685b4dc4a876,129,1671,1799,1,1160,640,1128,672,0.07166666666666667,0.6444444444444445,0.5727777777777778,0.9994444444444445,0.6266666666666667,-0.37277777777777776,0.0005555555555555556,0.37333333333333335,0.3727777777777778,0.5355555555555556,0.6355555555555557,0.10000000000000009
8,36,1800,1800,1800,bcd5919d93e2f4e2ff829adb996eac5510aed0fe48687ef1fee9c32f70e5e6b4,135,1665,1799,1,1159,641,1098,702,0.075,0.6438888888888888,0.5688888888888889,0.9994444444444445,0.61,-0.3894444444444445,0.0005555555555555556,0.39,0.3894444444444445,0.5372222222222223,0.6269444444444444,0.08972222222222215
9,36,1800,1800,1800,889ccb4d28a5c46e57dd362e3ce51f8a4c9a437c04fa06c6ce6eda7006b6ebc5,156,1644,1798,2,1185,615,1115,685,0.08666666666666667,0.6583333333333333,0.5716666666666667,0.9988888888888889,0.6194444444444445,-0.3794444444444445,0.0011111111111111111,0.38055555555555554,0.3794444444444444,0.5427777777777778,0.6388888888888888,0.09611111111111104
10,36,1800,1800,1800,0ce79001b4893981667207c38fe23dde4c7262913025558bf6d36ee44a91ae60,150,1650,1798,2,1164,636,1133,667,0.08333333333333333,0.6466666666666666,0.5633333333333332,0.9988888888888889,0.6294444444444445,-0.36944444444444446,0.0011111111111111111,0.3705555555555556,0.36944444444444446,0.5411111111111111,0.6380555555555556,0.0969444444444445
11,36,1800,1800,1800,cfeaa36eb117b2c2a2c66b5203227f7af073fca97e7361672b0e634a7dc2cbb4,142,1658,1800,0,1185,615,1106,694,0.07888888888888888,0.6583333333333333,0.5794444444444444,1.0,0.6144444444444445,-0.38555555555555554,0.0,0.38555555555555554,0.38555555555555554,0.5394444444444444,0.6363888888888889,0.0969444444444445
