simulation_unit_id,planned_decision_id,decision_class,external_optimizer_seed,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,decision_status,valid_models,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,rule_feature_usage,truth_join_status
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3B2D000001,BASELINE,0,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3B2D000002,BASELINE,0,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,81.83938382810499,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3B2D000003,BASELINE,0,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3B2D000004,BASELINE,0,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,47.458101763221514,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3B2D000005,BASELINE,0,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3B2D000006,BASELINE,0,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,93.1827928671223,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3B2D000007,BASELINE,0,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3B2D000008,BASELINE,0,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,69.83955191667869,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3B2D000009,BASELINE,0,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3B2D000010,BASELINE,0,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,44.45029827576913,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
