simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,retained_cadences,finite_time_flux,strictly_increasing_time,native_indices_consecutive,no_duplicate_times,no_duplicate_native_indices,regular_cadence_tolerance_s,peak_retained,all_triggered_reasons,primary_inadmissibility_reason,irregular_sampling_details,input_state,materialization_status
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,True,True,True,True,True,0.001,True,,,,ELIGIBLE_FOR_AFINO,MATERIALIZED
