background_realization_id,split,n_samples,duration_s,red_noise_alpha,positive_pair_qpp_fraction,split_rank_sha256,challenge_rank_sha256,background_entropy,period_entropy,noise_offset,noise_length,noise_sha256,phase_rad,phase_sha256_or_canonical_repr,true_period_s,period_upper_bound_s,cycles_in_window,generation_status,generation_failure_reason,redraw_count
F3BBG_N015_A0_Q001_R001,DEVELOPMENT,15,280.0,0.0,0.01,121243257c10ef59f05ed18f5ae799cf5a0568e894f7672caf7fddd20f174d67,aeebf2cfd161cba46f9622a4dfe8e7a12db7e9bf7b6f6b917b6987296519b175,149657318050066290245076818614144024417,115612163436007473075633258284871131868,0,15,f08e1336bae6d6344808a32fb33cc4c2bc35ba4915b89dc7b914013a4885285c,6.033319925727677,84d94fb8e6cf5df1d2917f4ae3e5a19fcdbcda4638b4eee4844156ca42612813,81.83938382810499,93.33333333333333,3.4213356320975064,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R003,DEVELOPMENT,15,280.0,0.0,0.01,2f3c03338011a5ca2ee80c29502a25cf404dc5d72b6aad8b2bb987949ece6fbe,b353a457a5af1aa852c63afddb6f6262119e904a79574c931ee04e638c20d671,157369652207003133088029798910488504450,242934619192339759853990178637518643042,15,15,fcf9ed96da20667d58ac0d41b29dafee0d3bf998545c5be4a0d7d9ec84c1db28,0.8529031770232597,2d727f8cbe05acbc066974c9b249780131ac1340b7c41f706464d825745fafa2,47.458101763221514,93.33333333333333,5.899940992098232,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R006,DEVELOPMENT,15,280.0,0.0,0.01,6f43f745e13a1b041422eeab240c8e7c9873919937e49d9346b66605aacb8659,77ec4a5d57eda8f92eb27933a82bda7ebe750d4d33e4234688fc5e9958b453d8,11744291941038486746045790298717138972,149891302503406905276595925089388685077,30,15,dcb3619a89fcd9ee61ae8604711b690a6836ea97fe4e208eecb3221be09fd45c,0.5802959482042557,89444880356c90082fdda85716b4c35d9f4f3d2f27562e383e3ece16ce8e2c41,93.1827928671223,93.33333333333333,3.0048466179724524,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R008,DEVELOPMENT,15,280.0,0.0,0.01,457c649399737a9fff413c7d9a2981b913b39d5160466be0885ea86156d9f30c,9ba10d16183042e834ac361afe995465f247dfd13f5b2a76e6066f78040b02f3,18997166417551691881492494358233649641,197909853905800697882436790131703003296,45,15,67a82f757e6bfc73685311d1d7a51e10436a0bf38afb93ba6dcd63c2057c0d95,0.9421922092170896,0ef42d4c6a01f7fa19a96ac159f6796f2ac5bff69290758434e206ef917a88da,69.83955191667869,93.33333333333333,4.009189525357364,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R012,DEVELOPMENT,15,280.0,0.0,0.01,516420effff77cc29fe1a291516d419fcc4ff2b889ef6c8f5dbfee3a94276893,38d12559f6583176338591dc6d73cc51fa7f2242af6ef172c764640259540a2d,195477075585336814084449722485545742291,327206270434285698731842780425774988674,60,15,b23c9dc4995983336c5f4440ccd48f8d43a0e3a23b0d9c62c76d0ed7f14b045d,2.4480225129971886,2514882d89f2ec0a548e86bffd74af50f23e179b60aa4ca2dcbffedc73926fe9,44.45029827576913,93.33333333333333,6.299170328686734,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R013,DEVELOPMENT,15,280.0,0.0,0.01,03f6c2717ba3adbf984ed9ac1164f65d02d49bf20974e49f309d87433efbadd5,66587eceaeaed4a7bae6a857633e97b8083b38b7ba5d90f4119c6aa753a57ed8,337506951820384669639845308104819142875,114589507699836668565575548621542305321,75,15,38ed221db93fcb939d4d45d42538768206457044a4bf25a162d6e8a6214c8435,2.9733478146770005,700b57adc8b3f9ef2d00a7a5265731eb5c5acce56fce3d7ffba6cbb1a8a3327a,44.05037402235358,93.33333333333333,6.356359195904049,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R019,DEVELOPMENT,15,280.0,0.0,0.01,11e26a95733ebc7c8da2123745669444cfcd5e688e3c2d7783216c3550d695e5,aa98c923fba37f70c09ef924e80da14e5123c7d721dcc4f3ec83ef34be6d89c3,211543437773689280651389856374604599268,91738886023359616629512761454364456289,90,15,a269e5f832fe1ea30db33393ccb959c9abc3bd68753506bb604c52d8f7834519,2.4319125785269415,e789d54d0829e4b4c4f83616046b2060ec33bd56e190a87d4cbd8dc293435800,41.41520086707773,93.33333333333333,6.76080265549505,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R025,DEVELOPMENT,15,280.0,0.0,0.01,0a607ad61b2fb5428e5406284a8ae7db92635b5f310fd8d3529e76456d16dff2,e3166ec7e042d3db929556dabf481f3e5c7a5ca88c21c8f460b669188c08b992,255096258468994388544324782533903820632,144082443463409051810932253996252224180,105,15,96a27349c8273a934a4b19f2d348e21f182aef8ce177d81377cb76cc2e662f90,2.064080794965256,324176af2c818920eb126027b8887847cacd4cda7b1967a0183a907ca6059346,63.77153573692542,93.33333333333333,4.390673625221676,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R028,DEVELOPMENT,15,280.0,0.0,0.01,72e5f85efd418943b2c45403daf31e765f50e0193c2e46f9b6d150bc606ab3f9,dcdad78f958822d85b30d1c32ad5cbb9dc575149aad7c5ddaec62e7be874cba4,158433322007480264783733988578622229411,297884519683297841306101843752985326120,120,15,927407d43522fd14c5dfa128358a46c785ebf35ad10295ac29f94bd451d20185,1.3032681753192021,1425df3d01383580c6db7ab2b00c5110d3ba4352f76170550801a91ba5f65ee8,47.997566984486305,93.33333333333333,5.833629027290095,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R029,DEVELOPMENT,15,280.0,0.0,0.01,3eeea316f2b48c085035375825c707df7f687f600811797c3a1f7948f55732a1,5d231d951e9625ad5324aed84647d08b8ed7766371d25d8e6361032a6cd61556,109054970935009726247090983814745753093,180056546399254151724368793142418008643,135,15,a6d9e5d86415905509137c64e6a7a31d66d42855aef0dce61a5434369a3ce3d4,5.91576267390748,7ef0750038daf0d6fd3bd5c2c32486330fac4d2f16700c4736d92070e0f37f77,86.52577217114961,93.33333333333333,3.2360300633452277,MATERIALIZED,,0
