planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,truth_state,external_optimizer_seed,payload_logical_sha256,input_state,gap_quality_regime,planned_model_calls,execution_status
F3B2D000001,1,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_ABSENT,0,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000002,2,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,SYNTHETIC_QPP_PRESENT,0,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000003,3,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_ABSENT,0,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000004,4,BASELINE,F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3BBG_N015_A0_Q001_R003,SYNTHETIC_QPP_PRESENT,0,08242f8e90b4c19ca1333025ad9267de38b3bb5d4437f8a88496ef3f30addb08,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000005,5,BASELINE,F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_ABSENT,0,d16c2e8a9abf266aef40cbd77a0c2fd69180e6b528289e548d34dc56932af07e,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000006,6,BASELINE,F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3BBG_N015_A0_Q001_R006,SYNTHETIC_QPP_PRESENT,0,2cec49f3d5e60fef55208f52a3c7859b130d71512e8cccbd87cb2a0b850880c8,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000007,7,BASELINE,F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_ABSENT,0,575d0376b6d4327e43e3a3014c07ccd206075de338d8a25220b4c5ef036cd21f,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000008,8,BASELINE,F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3BBG_N015_A0_Q001_R008,SYNTHETIC_QPP_PRESENT,0,9f6fc257ea4cee5904a560ead7c14ed1f2518ad474cd26b5121323d0adfa5206,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000009,9,BASELINE,F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_ABSENT,0,71efb3727795de6286ce38cf0986382649af3b0d4a6631c4af48ca7e79521c84,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000010,10,BASELINE,F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3BBG_N015_A0_Q001_R012,SYNTHETIC_QPP_PRESENT,0,7de91754a6376ab9023a488606ce178f34644acb2c5fb03c97950c8ae4f0b19a,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000011,11,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_ABSENT,0,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000012,12,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_PRESENT,0,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000013,13,BASELINE,F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_ABSENT,0,8383a1e98c00680c44c3c9ef6096ff716f667af4ca9ab3efa8498b6ea5ead4b5,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000014,14,BASELINE,F3BBG_N015_A0_Q001_R019:POS:PRIMARY,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_PRESENT,0,d0f198e2d1fd2318fca52df578cceec3b1b3483745acbc9638fc4a943a55bb4f,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000015,15,BASELINE,F3BBG_N015_A0_Q001_R025:NULL:PRIMARY,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_ABSENT,0,d99216ab67130a32e032337a3e490f2a6bd82f96bd685bf1b62cac59401c052a,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000016,16,BASELINE,F3BBG_N015_A0_Q001_R025:POS:PRIMARY,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_PRESENT,0,8a030ec7fb53e7fd488182fb539652952c22d1e266e68bad74e8c32ad97f18c4,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000017,17,BASELINE,F3BBG_N015_A0_Q001_R028:NULL:PRIMARY,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_ABSENT,0,e735eeb3c2c470afbcf0c8a23018a6915f13d6671e3f79d52022836d5f76522d,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000018,18,BASELINE,F3BBG_N015_A0_Q001_R028:POS:PRIMARY,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_PRESENT,0,82b34b041184efc7b8fe9346f722f0d57544d59da501c33e88783de36a044db2,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000019,19,BASELINE,F3BBG_N015_A0_Q001_R029:NULL:PRIMARY,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_ABSENT,0,fa2fd1b85cb8a359ecb64bde3ccea56142bb330af57b76b64505b8e6d5e98aa1,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000020,20,BASELINE,F3BBG_N015_A0_Q001_R029:POS:PRIMARY,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_PRESENT,0,6623595cf16840f9398961f2198040d3595aedd0318de45be5fdf2d70ff40fb1,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000021,21,BASELINE,F3BBG_N015_A0_Q001_R030:NULL:PRIMARY,F3BBG_N015_A0_Q001_R030,SYNTHETIC_QPP_ABSENT,0,2e193b176ac43de266f0e4a9a79d7726b4b97f5aeaa372c33ae596db7926e6f7,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
