simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,latent_flux.npy,0,15,466cac9b781964873a5a47223af82cc5d5846ceb9f457367b1f621d3d9d9c255,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,0,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,466cac9b781964873a5a47223af82cc5d5846ceb9f457367b1f621d3d9d9c255,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,MATERIALIZED
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,latent_flux.npy,15,15,a6ee282ff4ea81c07b79ed8279f4852d01a0b06c16e454047eb20d049610585f,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,15,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,a6ee282ff4ea81c07b79ed8279f4852d01a0b06c16e454047eb20d049610585f,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,MATERIALIZED
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,latent_flux.npy,30,15,eaa605a2fb9e0f46ff8283129da5c7b2039b6a7851892c2844171cedb6ff679a,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,30,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,eaa605a2fb9e0f46ff8283129da5c7b2039b6a7851892c2844171cedb6ff679a,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,MATERIALIZED
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3BBG_N015_A0_Q001_R003,latent_flux.npy,45,15,974cb5c072d5bbf75abed672cc87dc4791c2d0a8cfed281fe45651d909f98d57,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,45,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,974cb5c072d5bbf75abed672cc87dc4791c2d0a8cfed281fe45651d909f98d57,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,08242f8e90b4c19ca1333025ad9267de38b3bb5d4437f8a88496ef3f30addb08,MATERIALIZED
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,F3BBG_N015_A0_Q001_R006,latent_flux.npy,60,15,c1f5e85e27f7be758bb29f60cc2b65a832a479c5f8dd53c53d11400dc89e2012,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,60,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,c1f5e85e27f7be758bb29f60cc2b65a832a479c5f8dd53c53d11400dc89e2012,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d16c2e8a9abf266aef40cbd77a0c2fd69180e6b528289e548d34dc56932af07e,MATERIALIZED
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,F3BBG_N015_A0_Q001_R006,latent_flux.npy,75,15,3adcce1158d19eec06d43cf6bfaed4861e644628f580e2ed4afb8929b230db17,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,75,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,3adcce1158d19eec06d43cf6bfaed4861e644628f580e2ed4afb8929b230db17,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,2cec49f3d5e60fef55208f52a3c7859b130d71512e8cccbd87cb2a0b850880c8,MATERIALIZED
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,F3BBG_N015_A0_Q001_R008,latent_flux.npy,90,15,20d609410a7e0432d889345508d38781217b001ed181207b42e6e65921eacf0f,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,90,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,20d609410a7e0432d889345508d38781217b001ed181207b42e6e65921eacf0f,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,575d0376b6d4327e43e3a3014c07ccd206075de338d8a25220b4c5ef036cd21f,MATERIALIZED
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,F3BBG_N015_A0_Q001_R008,latent_flux.npy,105,15,d3d55baf6590f81409496b2f10e5747a327ab775151fcb2513efd1c6f76c7d91,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,105,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,d3d55baf6590f81409496b2f10e5747a327ab775151fcb2513efd1c6f76c7d91,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,9f6fc257ea4cee5904a560ead7c14ed1f2518ad474cd26b5121323d0adfa5206,MATERIALIZED
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,F3BBG_N015_A0_Q001_R012,latent_flux.npy,120,15,1005a1bf5d7fec57294332fb07a0356d0ba5d73c5978357c3a8f4d7f36f810f6,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,120,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,1005a1bf5d7fec57294332fb07a0356d0ba5d73c5978357c3a8f4d7f36f810f6,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,71efb3727795de6286ce38cf0986382649af3b0d4a6631c4af48ca7e79521c84,MATERIALIZED
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,F3BBG_N015_A0_Q001_R012,latent_flux.npy,135,15,d3141bea8cbc057538bbc56ece3d4c7ed01eb7b58488cf9e3620f27e37419bf3,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,135,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,d3141bea8cbc057538bbc56ece3d4c7ed01eb7b58488cf9e3620f27e37419bf3,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,7de91754a6376ab9023a488606ce178f34644acb2c5fb03c97950c8ae4f0b19a,MATERIALIZED
