simulation_unit_id,truth_state,synthetic_ground_truth_known,qpp_component_present,true_period_s,qpp_fraction,qpp_phase_rad,signal_family,n_samples,red_noise_alpha,gap_quality_regime,truth_source,truth_sha256
F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,d68825d07b776788a337865d07fa7a12cbb5baedf45631455b10578fbcc31f73
F3BBG_N015_A0_Q001_R001:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,81.83938382810499,0.01,6.033319925727677,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,5512f189b10f905f9da406de7170b7262add8379d94ddc1898cad8757b7d3026
F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,091680bf9c5f0e7988dfa1652cf56ade13b118137977a64107d4ff18bf40d2b0
F3BBG_N015_A0_Q001_R003:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,47.458101763221514,0.01,0.8529031770232597,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,ef1fa483403dcf3161eb2ecb2829fc08b7030f2770bec838d4168b4a331cce1c
F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,ce72f7702be374914e57401a8138e4529ffff18830b14b75272f51c600de2fb7
F3BBG_N015_A0_Q001_R006:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,93.1827928671223,0.01,0.5802959482042557,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,9b4522b61286ce70d6912b84fcbec223f0ee104b0bd92e2753cd6863a784f74b
F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,db8c9ba90a9993dcf2316e0b95546557a6c892ae22b2cbafa914312d13c635e3
F3BBG_N015_A0_Q001_R008:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,69.83955191667869,0.01,0.9421922092170896,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,a5d75e98a447ec2071feed06a082c3c38a21901c45b879bc76aaa67ebba6fc33
F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,2dbbc97aee7d6c7982f61c216bb4bcdb427a61b5103f9f5b115e41682e3bc679
F3BBG_N015_A0_Q001_R012:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,44.45029827576913,0.01,2.4480225129971886,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,0ace19dd5a601f8d1eb508303505d2aa2b4ef82a3781b4bc7cd437753fd9b281
