canary_class,selection_basis,simulation_unit_id,background_realization_id,split,truth_state,gap_quality_regime,n_samples,duration_s,red_noise_alpha,qpp_fraction,true_period_s,cycles_in_window,qpp_phase_rad,peak_index,redraw_count,noise_mean,noise_std_ddof1,time_sha256,flare_envelope_sha256,background_noise_sha256,latent_flux_sha256,qpp_component_sha256,retain_mask_sha256,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,validation_status
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,,,,2.9733478146770005,3,0,-5.782411586589357e-20,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,38ed221db93fcb939d4d45d42538768206457044a4bf25a162d6e8a6214c8435,7dd9ad2d6ce656468442b6bc813f6b201cbb105537e45a8212700777088d5280,,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,7dd9ad2d6ce656468442b6bc813f6b201cbb105537e45a8212700777088d5280,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,0.01,44.05037402235358,6.356359195904049,2.9733478146770005,3,0,-5.782411586589357e-20,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,38ed221db93fcb939d4d45d42538768206457044a4bf25a162d6e8a6214c8435,bb3f7650fb14aeebe6693f93d1372850630c16b799bba1b00deb26ce4bea0724,dc3c1426744a88ccf4cc73aebc8c5845ff00b466955fb7797ea2411377f41e22,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,bb3f7650fb14aeebe6693f93d1372850630c16b799bba1b00deb26ce4bea0724,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,,,,2.2926864676216767,3,0,2.312964634635743e-19,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5aea5e3add65fbd87ed55db86b8f68ecc32d971e4faf4a78cfffb8e602e95c64,0f783d838488b724ce49624be61719889445000d3c0c5bc839455813a57e7de3,,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,0f783d838488b724ce49624be61719889445000d3c0c5bc839455813a57e7de3,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,0.02,46.524157797524964,6.018378693034519,2.2926864676216767,3,0,2.312964634635743e-19,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,5aea5e3add65fbd87ed55db86b8f68ecc32d971e4faf4a78cfffb8e602e95c64,4c0adbbc884b9d888023c2cae35e331a8cb9bf17c5c619170a244cf699ae6c99,461172b521ebc8414de29a81ee12293366cd079430947d5443f014684ad250c6,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,4c0adbbc884b9d888023c2cae35e331a8cb9bf17c5c619170a244cf699ae6c99,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,,,,0.8954664519182512,3,0,1.4456028966473392e-20,0.005,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,fee693645d8933df94790151e525b19078e88c0adf34b78afd32d248e1396022,731f06c8617e0fb3acb3020e7da3f56518787447eb2911b3aff3b45b5d1eef49,,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,731f06c8617e0fb3acb3020e7da3f56518787447eb2911b3aff3b45b5d1eef49,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,F3BBG_N015_A0_Q004_R054,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,CONTIGUOUS_ALL_GOOD,15,280.0,0.0,0.04,57.49296925067737,4.870160710941209,0.8954664519182512,3,0,1.4456028966473392e-20,0.005,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,fee693645d8933df94790151e525b19078e88c0adf34b78afd32d248e1396022,bc519a2109bc2eddd9748da9be3423f5428c3cd05e2994bfbdf656ff716fd383,d150b62a7fc6fec661e448edf1d31d9553d9123251de69f6ae710b1950a1785c,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,bc519a2109bc2eddd9748da9be3423f5428c3cd05e2994bfbdf656ff716fd383,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,50d36135e27da9eaa81ea5ac93ca0a858abab9a357b947a771a5eed828da35c6,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A1_Q001_R004:NULL:PRIMARY,F3BBG_N015_A1_Q001_R004,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,CONTIGUOUS_ALL_GOOD,15,280.0,1.0,,,,2.2658035682048987,3,0,-2.312964634635743e-19,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,54a4860cd0a3dfa694480b75aae6650d3ebafb63344de44910436c51d2515661,e1798b48bf71c8504b6ac3397ba7033d8ca20dfb26f3135220f56d31e5b9f421,,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,e1798b48bf71c8504b6ac3397ba7033d8ca20dfb26f3135220f56d31e5b9f421,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,fea2cef8766cee456900b0cbac704185489a29b23e72aaf69b6d8bf06fdc4b69,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A1_Q001_R004:POS:PRIMARY,F3BBG_N015_A1_Q001_R004,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,CONTIGUOUS_ALL_GOOD,15,280.0,1.0,0.01,79.54857380341558,3.5198619737916363,2.2658035682048987,3,0,-2.312964634635743e-19,0.005000000000000001,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,54a4860cd0a3dfa694480b75aae6650d3ebafb63344de44910436c51d2515661,cb9690098665fccf9e082610de459b989cfde17ce2509852821df09ae406e00a,4656eb167e8223d739ca1a68b0ce1a9b5071795dbbd6c8488a930c3af8b44d31,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,cb9690098665fccf9e082610de459b989cfde17ce2509852821df09ae406e00a,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,8e3f393b578121759d5afb26822d96b4ab0ad8d9160e526563ba5023907181b0,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A1_Q002_R054:NULL:PRIMARY,F3BBG_N015_A1_Q002_R054,DEVELOPMENT,SYNTHETIC_QPP_ABSENT,CONTIGUOUS_ALL_GOOD,15,280.0,1.0,,,,0.09041668075069907,3,0,-2.8912057932946783e-19,0.005,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,195b129cccd507367e6cafed350546dcb6b0f9bbf392ae161a97ac99c679b2e3,de903b8ce39a4f14c2b1cac54745297e7c60bcafea177c5a12ade4c9433fb99c,,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,de903b8ce39a4f14c2b1cac54745297e7c60bcafea177c5a12ade4c9433fb99c,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,a1b260825e9d9fcb2e16851913aca0c5c5be614130f25d963a73ef6c9e74180f,PASS
PRIMARY,f3b1_numerical_stability_protocol.selected_backgrounds,F3BBG_N015_A1_Q002_R054:POS:PRIMARY,F3BBG_N015_A1_Q002_R054,DEVELOPMENT,SYNTHETIC_QPP_PRESENT,CONTIGUOUS_ALL_GOOD,15,280.0,1.0,0.02,43.390250670313236,6.453062512302344,0.09041668075069907,3,0,-2.8912057932946783e-19,0.005,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,be0b912a1764ca6fd7d26cb55413d2acaa92c000a10554d2a14d26485153fb5f,195b129cccd507367e6cafed350546dcb6b0f9bbf392ae161a97ac99c679b2e3,4da2831cb45ef0b410c3cc0b4de7d77d987ab37aed317e8cf4e704c64904b864,e13f2f1a17ec00cf4384fc73bbc93327f7c22f8ca33908b08445c3b04aa8a2a1,69801b353a8f248b5399788172cf8a7758625782651ae1e8b733fd3f5cd875a8,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,4da2831cb45ef0b410c3cc0b4de7d77d987ab37aed317e8cf4e704c64904b864,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d7f1fd2856a233a766389e4e3483b302430004adba3f45b836bda33c85d995ee,PASS
