job_id,job_order,planned_decision_id,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,model_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,execution_status
F3B2J0000001,1,F3B2D000001,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M0,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000002,2,F3B2D000001,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M1,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000003,3,F3B2D000001,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M2,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000004,4,F3B2D000002,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M0,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000005,5,F3B2D000002,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M1,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000006,6,F3B2D000002,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,F3BBG_N015_A0_Q001_R001,0,M2,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000007,7,F3B2D000003,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,0,M0,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000008,8,F3B2D000003,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,0,M1,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000009,9,F3B2D000003,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,F3BBG_N015_A0_Q001_R003,0,M2,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B2J0000010,10,F3B2D000004,BASELINE,F3BBG_N015_A0_Q001_R003:POS:PRIMARY,F3BBG_N015_A0_Q001_R003,0,M0,08242f8e90b4c19ca1333025ad9267de38b3bb5d4437f8a88496ef3f30addb08,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
