canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
1,F3B2D000011,11,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,0,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
2,F3B2D000012,12,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,0,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
3,F3B2D000107,107,BASELINE,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,0,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
4,F3B2D000108,108,BASELINE,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,0,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
5,F3B2D000255,255,BASELINE,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,0,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
6,F3B2D000256,256,BASELINE,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,F3BBG_N015_A0_Q004_R054,0,50d36135e27da9eaa81ea5ac93ca0a858abab9a357b947a771a5eed828da35c6,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
7,F3B2D000305,305,BASELINE,F3BBG_N015_A1_Q001_R004:NULL:PRIMARY,F3BBG_N015_A1_Q001_R004,0,fea2cef8766cee456900b0cbac704185489a29b23e72aaf69b6d8bf06fdc4b69,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
8,F3B2D000306,306,BASELINE,F3BBG_N015_A1_Q001_R004:POS:PRIMARY,F3BBG_N015_A1_Q001_R004,0,8e3f393b578121759d5afb26822d96b4ab0ad8d9160e526563ba5023907181b0,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
9,F3B2D000451,451,BASELINE,F3BBG_N015_A1_Q002_R054:NULL:PRIMARY,F3BBG_N015_A1_Q002_R054,0,a1b260825e9d9fcb2e16851913aca0c5c5be614130f25d963a73ef6c9e74180f,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
10,F3B2D000452,452,BASELINE,F3BBG_N015_A1_Q002_R054:POS:PRIMARY,F3BBG_N015_A1_Q002_R054,0,d7f1fd2856a233a766389e4e3483b302430004adba3f45b836bda33c85d995ee,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
11,F3B2D000535,535,BASELINE,F3BBG_N015_A1_Q004_R035:NULL:PRIMARY,F3BBG_N015_A1_Q004_R035,0,8269842f9d23399231e43635fc7d6679446a2dc37640177a37746bce84c49c45,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
12,F3B2D000536,536,BASELINE,F3BBG_N015_A1_Q004_R035:POS:PRIMARY,F3BBG_N015_A1_Q004_R035,0,456de89fe23e3af501bde644d01cc1654733e345b4e0e70f6d7feb6d226f52b9,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
13,F3B2D000631,631,BASELINE,F3BBG_N015_A2_Q001_R031:NULL:PRIMARY,F3BBG_N015_A2_Q001_R031,0,af81c156e1a201d76a32c26bac82d320130c403a69a9712a6dccbd59f80a6b3f,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
14,F3B2D000632,632,BASELINE,F3BBG_N015_A2_Q001_R031:POS:PRIMARY,F3BBG_N015_A2_Q001_R031,0,97d2a469ffbe2d9e84cfa4b632e00688b91cc2d531eeb5f73c6ae6a7cf5798f4,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
15,F3B2D000751,751,BASELINE,F3BBG_N015_A2_Q002_R044:NULL:PRIMARY,F3BBG_N015_A2_Q002_R044,0,94ea298fe5fa6ce7f0efd07eb3802eab2a020edd348befc9333fde87d13d9165,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
16,F3B2D000752,752,BASELINE,F3BBG_N015_A2_Q002_R044:POS:PRIMARY,F3BBG_N015_A2_Q002_R044,0,392404df83fb1f96aa381b06b67b6b5ffc9d230ad9f85945d14477061b0e36ca,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
17,F3B2D000881,881,BASELINE,F3BBG_N015_A2_Q004_R076:NULL:PRIMARY,F3BBG_N015_A2_Q004_R076,0,26b1052ebe1c535a89528335eee5647618f6ee5d9a2817a6ffcb39882973883c,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
18,F3B2D000882,882,BASELINE,F3BBG_N015_A2_Q004_R076:POS:PRIMARY,F3BBG_N015_A2_Q004_R076,0,7e7adebc05b6b328b249f5a118f47c2be4473e0b0e6ad43f7116a54de0216d5e,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
