anchor_id,planned_decision_id,simulation_unit_id,external_optimizer_seed,model_id,job_id,status_match,bic_match,parameters_match,warnings_match,bounds_match,formal_period_match,effective_dt_match,positive_frequency_bin_count_match,post_cutoff_bin_count_match,convergence_status_match,overall_match,mismatch_fields_json
N015_NULL_SEED0,F3B2D000011,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,M0,F3B2J0000031,True,True,True,True,True,True,True,True,True,True,True,[]
N015_NULL_SEED0,F3B2D000011,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,M1,F3B2J0000032,True,True,True,True,True,True,True,True,True,True,True,[]
N015_NULL_SEED0,F3B2D000011,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,M2,F3B2J0000033,True,True,True,True,True,True,True,True,True,True,True,[]
N015_POS_SEED0,F3B2D000012,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,M0,F3B2J0000034,True,True,True,True,True,True,True,True,True,True,True,[]
N015_POS_SEED0,F3B2D000012,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,M1,F3B2J0000035,True,True,True,True,True,True,True,True,True,True,True,[]
N015_POS_SEED0,F3B2D000012,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,M2,F3B2J0000036,True,True,True,True,True,True,True,True,True,True,True,[]
N120_NULL_SEED0,F3B2D002725,F3BBG_N120_A0_Q001_R032:NULL:PRIMARY,0,M0,F3B2J0008173,True,True,True,True,True,True,True,True,True,True,True,[]
N120_NULL_SEED0,F3B2D002725,F3BBG_N120_A0_Q001_R032:NULL:PRIMARY,0,M1,F3B2J0008174,True,True,True,True,True,True,True,True,True,True,True,[]
N120_NULL_SEED0,F3B2D002725,F3BBG_N120_A0_Q001_R032:NULL:PRIMARY,0,M2,F3B2J0008175,True,True,True,True,True,True,True,True,True,True,True,[]
N120_POS_SEED0,F3B2D002726,F3BBG_N120_A0_Q001_R032:POS:PRIMARY,0,M0,F3B2J0008176,True,True,True,True,True,True,True,True,True,True,True,[]
N120_POS_SEED0,F3B2D002726,F3BBG_N120_A0_Q001_R032:POS:PRIMARY,0,M1,F3B2J0008177,True,True,True,True,True,True,True,True,True,True,True,[]
N120_POS_SEED0,F3B2D002726,F3BBG_N120_A0_Q001_R032:POS:PRIMARY,0,M2,F3B2J0008178,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_NULL_SEED9,F3B2D003609,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,M0,F3B2J0010825,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_NULL_SEED9,F3B2D003609,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,M1,F3B2J0010826,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_NULL_SEED9,F3B2D003609,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,M2,F3B2J0010827,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_POS_SEED9,F3B2D003618,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,M0,F3B2J0010852,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_POS_SEED9,F3B2D003618,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,M1,F3B2J0010853,True,True,True,True,True,True,True,True,True,True,True,[]
GLOBAL_POS_SEED9,F3B2D003618,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,M2,F3B2J0010854,True,True,True,True,True,True,True,True,True,True,True,[]
