canary_job_order,job_id,job_order,planned_decision_id,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,model_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,execution_status
1,F3B2J0000031,31,F3B2D000011,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M0,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
2,F3B2J0000032,32,F3B2D000011,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M1,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
3,F3B2J0000033,33,F3B2D000011,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M2,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
4,F3B2J0000034,34,F3B2D000012,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M0,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
5,F3B2J0000035,35,F3B2D000012,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M1,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
6,F3B2J0000036,36,F3B2D000012,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3BBG_N015_A0_Q001_R013,0,M2,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
7,F3B2J0000319,319,F3B2D000107,BASELINE,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M0,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
8,F3B2J0000320,320,F3B2D000107,BASELINE,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M1,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
9,F3B2J0000321,321,F3B2D000107,BASELINE,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M2,ca27cdbfe79869e5aed8cea05f1215e6bac1d195c2212c8d80dc38e2e8664e1b,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
10,F3B2J0000322,322,F3B2D000108,BASELINE,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M0,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
11,F3B2J0000323,323,F3B2D000108,BASELINE,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M1,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
12,F3B2J0000324,324,F3B2D000108,BASELINE,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,F3BBG_N015_A0_Q002_R012,0,M2,61a3d72df0e45f8471f16d3e24ea3e7c374940b3cd9c660c615b3b196b1aefe3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
13,F3B2J0000763,763,F3B2D000255,BASELINE,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,0,M0,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
14,F3B2J0000764,764,F3B2D000255,BASELINE,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,0,M1,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
15,F3B2J0000765,765,F3B2D000255,BASELINE,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,F3BBG_N015_A0_Q004_R054,0,M2,33d5eb8b8051c7f3f245875baeddf29ac0beaf7b1297ec913a1170ab803528fc,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
