planned_decision_id,simulation_unit_id,external_optimizer_seed,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B2D000011,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003601,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003609,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000012,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003610,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003618,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000107,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003619,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003627,F3BBG_N015_A0_Q002_R012:NULL:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000108,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003628,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003636,F3BBG_N015_A0_Q002_R012:POS:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000255,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003637,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003645,F3BBG_N015_A0_Q004_R054:NULL:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000256,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003646,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003654,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
