planned_decision_id,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,decision_status,valid_models,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,result_core_m0_sha256,result_core_m1_sha256,result_core_m2_sha256
F3B2D000001,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,0,aa9e985cc0219eecc83e8c20c0e024207e09d144e4e1b15fee2c13a8a0638c75,VALID,3,-5.5441887611952225,-0.0020897995517739076,-1.898508359889008,-5.542098961643449,-1.896418560337234,False,229.37678920608897,formal_m1_center_not_selected,595da8efd29c8e647eb6ab54f438c981ca8aebbeb2b84108d9eaa15c21dd56f8,d5f7b980d9a4c977baea06d5adf012e99ee5236ef946b1fab520d57553b3c44e,586b19795581e6b740c735eaf90716437c854349afacdb7ca22e58268dbc9f22
F3B2D000002,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,0,c26b29422c125204246793a674896a47accf9d4d327def7a1ce4ffc99514b208,VALID,3,-5.655819132099824,-0.08237679905520956,-2.0058837552084983,-5.573442333044614,-1.9235069561532887,False,212.11033627087002,formal_m1_center_not_selected,431449de468281cf9d268c01f3d8c1641b91bd35f5ab75a9d3f7d0252f941334,c8d827f7e74327247e095e0cda64a07cb0ff33170863ee78da42f042d3f7d2ed,a8dbd7168f87baebbf8af4a044a26c2a44fe6c43d0003641fa5f95e266c67638
F3B2D000003,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,0,b9dff282763f54a03876d41b5ad9e4d58c19ccf6a278851345ff9f36460b080b,VALID,3,-4.691997546002861,0.7509521844301936,-1.1337932222807785,-5.442949730433055,-1.8847454067109721,False,40.0,formal_m1_center_not_selected,a4efd6c2cf73a8dd90a9c207e21c9b08ae9ac908903176fbee094e5c8f62f057,27558cb1dd430bbdff306da0726d6072599d2f03bbf28a23779bc31306e0e6c8,9eb3b0360c385e186ad7ea9e8d1ecd89532a18118a0321299da62c86dc71571c
F3B2D000004,BASELINE,F3BBG_N015_A0_Q001_R003:POS:PRIMARY,0,08242f8e90b4c19ca1333025ad9267de38b3bb5d4437f8a88496ef3f30addb08,VALID,3,-4.568076648554705,0.9478314398366035,-0.995912234230123,-5.515908088391308,-1.9437436740667264,False,167.02293018695923,formal_m1_center_not_selected,4df1e7d6061989a2ea0f5f3dbc8dcfa68e3ee1162f27dd3cc2bde8c7ccc981ff,6ba9ecf60c6de646e02ac1ca4191ae87b8118ffa66a583992ae1588d29e5edc1,cf27b38be9a8d30f7f4f47e0094afec0d5cafc5c68747474b07183468fc91484
F3B2D000005,BASELINE,F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,0,d16c2e8a9abf266aef40cbd77a0c2fd69180e6b528289e548d34dc56932af07e,VALID,3,-5.123825730040647,0.5121125860407965,-1.4219468000838242,-5.635938316081443,-1.9340593861246207,False,151.62435074669332,formal_m1_center_not_selected,3a9aadae8337b7458ce3303f43dd46569fd9b2cda93d3f10ab77554644ae0432,b00f15abb466f549bd30d7031b56855ae441d8a9ef0a7a8336ed8c5b63f1375c,d50c15da946959e8dc5b89bbb9161df11c3bb3f39e857464d504225682d77f29
F3B2D000006,BASELINE,F3BBG_N015_A0_Q001_R006:POS:PRIMARY,0,2cec49f3d5e60fef55208f52a3c7859b130d71512e8cccbd87cb2a0b850880c8,VALID,3,-4.923769568975491,0.7517097187049533,-1.203155460071307,-5.675479287680444,-1.9548651787762603,False,150.67496197138456,formal_m1_center_not_selected,fab1edf69ef51e21515a3e5a7412ccb8c4e002547ab814e964d152733ea1613d,e6cb289c578c84c2ac6042b594bb127a7823a87ca5f05270b7310424cbc1d986,29122f69e0e8d4d8ad7c33867cc1cd3e2b27b065ce3d0d35ce1c4fed4b763687
F3B2D000007,BASELINE,F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,0,575d0376b6d4327e43e3a3014c07ccd206075de338d8a25220b4c5ef036cd21f,VALID,3,-4.764731931535282,0.6013860372369475,-1.319475570415162,-5.36611796877223,-1.9208616076521094,False,126.79253150291342,formal_m1_center_not_selected,811cc0c44efbd42f5f0dae27e9b767d658758505b32cf143fa835d0ae4fafc9e,ef4fd760f4d5c1b6eca59c7acdb4bebe8d2b939ded8c66283b9d6516afaa8350,5dbd66f887267a719f1b26d10a710b7a6eaebe431d3a74f241c9118154892639
F3B2D000008,BASELINE,F3BBG_N015_A0_Q001_R008:POS:PRIMARY,0,9f6fc257ea4cee5904a560ead7c14ed1f2518ad474cd26b5121323d0adfa5206,VALID,3,-4.566162485751191,0.9139231944328774,-0.9973310995168907,-5.480085680184068,-1.911254293949768,False,125.37033877827453,formal_m1_center_not_selected,d5ac1407019f78d8356195d1b9b804456f4693da467fa489bf60cc4a2460dc2f,46435a8b2866248b2531828624ce78203c8df08b775dcb9506283fa15f60a50f,5b31e250a02cbed5f6e90b70fab56ce6bee07068916f2c5a8f1054742a47724d
F3B2D000009,BASELINE,F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,0,71efb3727795de6286ce38cf0986382649af3b0d4a6631c4af48ca7e79521c84,VALID,3,-4.733795390177903,0.8751618284912972,-1.0125729426360062,-5.6089572186692,-1.8877347711273034,False,217.46224320866483,formal_m1_center_not_selected,67c660430134f476aede2d23ab4e2329d88d9f1dedbb920e0dc7954d30367e1f,f72468bca8ae697a448797cdb36f96dd934caf2efb54f15f792ac53c851a1823,8ec0ef248a392cbf96b69763a8298891121198b3a27e656baf7bb87e32f1acc6
F3B2D000010,BASELINE,F3BBG_N015_A0_Q001_R012:POS:PRIMARY,0,7de91754a6376ab9023a488606ce178f34644acb2c5fb03c97950c8ae4f0b19a,VALID,3,-4.500915964236345,1.0792292131874959,-0.8472179080156144,-5.580145177423841,-1.9264471212031102,False,149.94544497521687,formal_m1_center_not_selected,e491286699dbb651f544f90b6872ee51820d1cb60b576a4b546569f898e488b1,8789eb0aaa0c7362d7451a0e1cb3296ca13c08085e21063094989758acbc1c3e,ebb8a09a4e9ee707195e94a41cb1b164ec3de1ac4767f1cb9e8a298af920e843
F3B2D000011,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418122028,1.1992385032425474,-0.6158540424065224,-5.501491921364575,-1.8150925456490699,False,217.53891315210814,formal_m1_center_not_selected,406449894284122f67bf8eb52cdf0dfaa8a165961c959624c770c34e07302de9,af12c0857f082a80b680266cce032ce7c7bf67a4ca227f93233001b0c458a655,153039ecb97277ff988e59f4c30036aecee68d5caa570acc5d2da855655bf6c9
F3B2D003601,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,1,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418122028,1.1992346521883626,-0.6158540424796568,-5.5014880703103906,-1.8150886946680194,False,219.975787380297,formal_m1_center_not_selected,3b9e709487c11e60cb3f22b852e1bd60efca9dea78ce18e079997e7acdaadd7b,a2ebb85ee4241191a66064eccae62abdf8d25009d254bb0e5261e1defdb6c0d6,754c96ef0652a77c15349515092e096fe0458522ee5425a40f44b2fbd5a0c34d
F3B2D003602,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,2,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418121797,1.1994203431139638,-0.4566792267930664,-5.501673761235761,-1.6560995699070302,False,227.22142769008255,formal_m1_center_not_selected,02b0f39bfc5ed051d3af908cad48fa467269cd7feede448a64c7cf97363b5c49,1beabbae3b5b8d410274faa13795bd7f7e5ff66083dca3ad907e6e3aa88a3bf9,fafa343617b2bde4a5c0d982f0888201686ffe9ee44aac5f8320b9349c003e0f
F3B2D003603,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,3,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418122024,1.1992376789717785,-0.4566770552045094,-5.501491097093803,-1.6559147341762879,False,220.07946716315175,formal_m1_center_not_selected,28aef47b64bb21f1246dfdbad06e798f936f5b82ef5642319466614c320ccadf,1089db54ab03d6211964c044bf00029e9cad0ca80b5c57dbce36a9501767efc0,a5b2c38b6e3756d3de79838210cd038a1953726718a04a3ba231cdc51d72f533
F3B2D003604,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,4,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418122023,1.2403313388741175,-0.6158540256634923,-5.54258475699614,-1.8561853645376098,False,163.92416650843373,formal_m1_center_not_selected,241a99e3b44dd85f1f295a9bf200ee0233335aa5aa2baefaedc353a9433a19bc,ce6b9176e72c0d5bf9283b40af061293548a3cb9ef0d64ff6033fc873bca550c,c24870892364beaddc50d9c8dd6a505bbaf3fff88e23e4e276ed953520ef0017
F3B2D003605,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,5,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418121813,1.199233696281615,-0.45667944177199704,-5.501487114403428,-1.655913138053612,False,218.30159206082115,formal_m1_center_not_selected,f749dede87642a29dc89569ae5c03302d2b66904008e977d522bed37cf18bd9e,36b67db175179937b997e741898e268ffbc036a0c548f3532fd1844953084f61,053ca05ceaaa6c5e8999baee740032146f507da92fd48232d1145c240c195729
F3B2D003606,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,6,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418121982,1.1992337335121874,-0.6158539064976472,-5.501487151634169,-1.8150876400098346,False,218.58900519321693,formal_m1_center_not_selected,07a075761afabe12c885df5d4c3d7a1623efaa10c3ce686ee0df3cc64d727f46,c081595d67635b5e90394aa3204c409a5ebab561ad027f5f7ff839d4eadab37a,625fb35d2d5acaad119489b4ac4517bff29a2ff314915e6e996bdcea46a3243a
F3B2D003607,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,7,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418121914,1.1992336389174802,-0.6158540424307732,-5.501487057039395,-1.8150876813482535,False,215.80235220069906,formal_m1_center_not_selected,6c6b5407f740a88002145d0b98e2963d741001a95e3c9ff137d4420162a42ca9,29f10d3d7f862f5a59a7a343cad08a78a141e819d9c42c11d31aa422605cf769,81d508aad52447799afcd4cd58439370a15638ad63deda5730a1e15f37f2abe4
F3B2D003608,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,8,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418120966,1.1992382887051871,-0.6158540423950241,-5.501491706826153,-1.8150923311002112,False,215.8026460427651,formal_m1_center_not_selected,f619c47f8c579ff74bc86c815a82d780046f4bf49deb866a217af3ea3205a6aa,d3df576a9c5095ae83035614a702a231ebf3ae1b20bab118465ed4f2eec79a90,e3c8c054ede351f68779e5c5243c9ce635f31da0d4e0456840d3e621c1383545
F3B2D003609,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,f72f18f31419c88f61e23f524762e509ed2616e2c1d728aeb6574ae5295c26de,VALID,3,-4.302253418121959,1.199233937227202,-0.6158540423941412,-5.501487355349161,-1.8150879796213433,False,215.8023930461088,formal_m1_center_not_selected,c89de7611a5542a8c2f1db4ab432c418da0595c63f4939904b43cdc72c034a83,a728fcd071d7e44ceab5c46d2b7f93ff9378752477e16cd0b2910669367a06bc,4b5b8bbdcd6a2321d960e8aaf461d787606e41700799bf966c9362017b370659
F3B2D000012,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598142,1.3671268438603086,-0.5064890543640592,-5.48631656645845,-1.8736158982243678,False,219.8851298917546,formal_m1_center_not_selected,3b0a7fb04d5fbcd151028ed0ec664bddd8a6ad082f8430e30245e1e3ec418a8c,1e72ae8e300ec108ca8931843f15ba2d8a0032c378b10c5cf436edc068f8022f,9d88f6b0fb76d40a981b8d033d9ea76b70ef6a58934ddf580ad2e7775fb69fb3
F3B2D003610,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,1,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.1191897225982,1.3703943091634407,-0.5064890545209844,-5.489584031761641,-1.876883363684425,False,237.61519345737165,formal_m1_center_not_selected,e8eb044a47d1243e7f02495134c2efcb6022b88989e8e71b96d43117bfe454cd,47a2e01c578fe9bf8484e6f50b0ba05fccf0544a86d0fe419bb72abfd4099a3c,ecaf3884428d803a97b39428b99b55ea9bea24e65a84542181ed204e6e303310
F3B2D003611,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,2,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598168,1.3671481838121124,-0.5064890545600909,-5.486337906410281,-1.8736372383722033,False,223.15361358820599,formal_m1_center_not_selected,7449c868096e555ee44da0e7665f171698c9f0bf8ce364455664bf835093d8c4,a7f620995fbed4b75ec9fe058814fdf2d1f28bd0702f712eb1b471d0b44ccfa3,76910777f5b240927c5b79bb387bfe3b0b1f391d54694579add7744d0b287dbd
F3B2D003612,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,3,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598005,1.3671864495039543,-0.2827043462207195,-5.486376172101959,-1.6498907957246738,False,224.8495845816542,formal_m1_center_not_selected,dd394ebc860233dbac5ccb96aa55cb7a2612d6896eee96e8a0d93ad260ca03bd,4b09b118d61c55dfb8d469c0abf41bb0d0f52ec2662212f021b1d0500744ea54,a21baa53d4e4361eb7687bbc6bd8b648c11f63f4a700df5599b029c2ccaad0f8
F3B2D003613,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,4,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598209,1.3779828026491785,-0.5064890544403502,-5.497172525247388,-1.8844718570895287,False,146.2082691918859,formal_m1_center_not_selected,2d3c6a8c41df415fd3db852d060d22723d95ee6afea40c7ebf582ba27778b234,36bc8fc21b2fa2b36d316582454abcc8c25d7655f6b8c7caf0391fadb0ad6a9a,d4094d4fa9bffbff71acb1938e4b97965874c90e4ef36ea5849b8d62bf112ca7
F3B2D003614,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,5,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598108,1.372617153993426,-0.5064890543139642,-5.491806876591534,-1.8791062083073902,False,219.03385201180515,formal_m1_center_not_selected,88d37ea067fa0de164280182116ba4f5d76fa950fb5728ddd976da1d05c632cd,f4c7b478d3fd9289a2dfcb54b4d39741dd8c0e9701b876103bdb0ffe26df164f,97fb420650587eaae8c58a494f77e852c21961c47f42a38e22e274461edcfb37
F3B2D003615,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,6,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598117,1.3726174230325299,-0.5064889990885861,-5.491807145630647,-1.879106422121116,False,218.4200371552831,formal_m1_center_not_selected,f0d675f00e2367dcbb4fab3c58639091daf809611340550df2093b25ddaf5b92,27fb83f8e414e02f59a0a0d10f076b487afb080454f6772be93ee50f814aa8f2,e9b5ce2d2d133ed84f540a627a1f457f87d61d5f8d396cc64b111cf071c33b47
F3B2D003616,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,7,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598188,1.3671256585727605,-0.5064890543539429,-5.486315381170948,-1.8736147129267033,False,218.8911439791299,formal_m1_center_not_selected,ddaf348af0617f82e9916fc0c4b292c61fb328c707cb4fe4d3d368095729ac51,097a669e39e6024edae1a7ac7b4a7cfaa2b859ae20c9e5e90907f2bd5ea9c351,4162517b6d9f2c8079ac17d4cba99063f534a5ced32ff492ec82092d37806ba0
F3B2D003617,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,8,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722598181,1.3671281690466905,-0.5064890545715004,-5.486317891644871,-1.873617223618191,False,220.6977857843084,formal_m1_center_not_selected,597e41120b0db58ab3ccd8b85e14b49f2cd182be15032fbcfb1fe55e0f590bd2,32b6df4fa8fbd59e2ac95357cf363b994c9244c39e28780c9a9a8b3815909387,5079517bae2663038d4bf8b9e84748cad22df977587a8d8df568ae8b0a1deec5
F3B2D003618,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,e159398bfbb682f2af04f08357a0a890135006a086a80ace04315c7bab9b765e,VALID,3,-4.119189722597989,1.3671279948178263,-0.5064890545772132,-5.486317717415815,-1.8736170493950395,False,220.6823076260979,formal_m1_center_not_selected,2f72e3ac771d7ed138bef48b045240a0cbf76a89f9baa70fed27922b7f8fdc74,b54224cfecf104d66498af0baa92ccf1069c128399bedeb7256e3540d275abd2,54b074fb3385927b8918509ecc72234fccff3e276ff3d4335948c3030397b856
F3B2D000013,BASELINE,F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,0,8383a1e98c00680c44c3c9ef6096ff716f667af4ca9ab3efa8498b6ea5ead4b5,VALID,3,-4.377847311432873,1.0188504524725683,-0.8573890911018731,-5.396697763905442,-1.8762395435744414,False,46.72558095879822,formal_m1_center_not_selected,dcc694f18a9602825ff0716765488e8b2681c26dc46a6f36a28c35529100b8d0,90fb30fdf9a1b14ee207c4210a6ee1da85215903bb189d93bd62a295514ce260,df79e2ad4124bc18e9c6f7a6b880684f150f4a8f4150a9b11c80da1439d32d92
