planned_decision_id,decision_class,simulation_unit_id,external_optimizer_seed,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B2D000001,BASELINE,F3BBG_N015_A0_Q001_R001:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000002,BASELINE,F3BBG_N015_A0_Q001_R001:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000003,BASELINE,F3BBG_N015_A0_Q001_R003:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000004,BASELINE,F3BBG_N015_A0_Q001_R003:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000005,BASELINE,F3BBG_N015_A0_Q001_R006:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000006,BASELINE,F3BBG_N015_A0_Q001_R006:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000007,BASELINE,F3BBG_N015_A0_Q001_R008:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000008,BASELINE,F3BBG_N015_A0_Q001_R008:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000009,BASELINE,F3BBG_N015_A0_Q001_R012:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000010,BASELINE,F3BBG_N015_A0_Q001_R012:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000011,BASELINE,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003601,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003602,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,2,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003603,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,3,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003604,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,4,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003605,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,5,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003606,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,6,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003607,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003608,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,8,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003609,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000012,BASELINE,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003610,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003611,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,2,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003612,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,3,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003613,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,4,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003614,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,5,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003615,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,6,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003616,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,7,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003617,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,8,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D003618,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q001_R013:POS:PRIMARY,9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000013,BASELINE,F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000014,BASELINE,F3BBG_N015_A0_Q001_R019:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000015,BASELINE,F3BBG_N015_A0_Q001_R025:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000016,BASELINE,F3BBG_N015_A0_Q001_R025:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000017,BASELINE,F3BBG_N015_A0_Q001_R028:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000018,BASELINE,F3BBG_N015_A0_Q001_R028:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000019,BASELINE,F3BBG_N015_A0_Q001_R029:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000020,BASELINE,F3BBG_N015_A0_Q001_R029:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000021,BASELINE,F3BBG_N015_A0_Q001_R030:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000022,BASELINE,F3BBG_N015_A0_Q001_R030:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000023,BASELINE,F3BBG_N015_A0_Q001_R031:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000024,BASELINE,F3BBG_N015_A0_Q001_R031:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000025,BASELINE,F3BBG_N015_A0_Q001_R033:NULL:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B2D000026,BASELINE,F3BBG_N015_A0_Q001_R033:POS:PRIMARY,0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
