simulation_unit_id,planned_decision_id,background_realization_id,truth_state,qpp_selected,delta_bic_0_1,delta_bic_2_1,baseline_threshold_01,baseline_threshold_21,baseline_comparison,baseline_selected_recomputed,baseline_rule_agreement,classification_outcome,input_state,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,evaluation_scope
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3B5_HO_D0001,F3BBG_N015_A0_Q001_R002,SYNTHETIC_QPP_ABSENT,False,-5.570554556576116,-1.9362968465952486,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3B5_HO_D0002,F3BBG_N015_A0_Q001_R002,SYNTHETIC_QPP_PRESENT,False,-5.499439382460473,-1.9466616614758303,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,51.120109154982586,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3B5_HO_D0003,F3BBG_N015_A0_Q001_R004,SYNTHETIC_QPP_ABSENT,False,-5.590995615038651,-1.7731799417158571,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3B5_HO_D0004,F3BBG_N015_A0_Q001_R004,SYNTHETIC_QPP_PRESENT,False,-5.61776250132921,-1.7858724069479708,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,48.46813880196211,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3B5_HO_D0005,F3BBG_N015_A0_Q001_R005,SYNTHETIC_QPP_ABSENT,False,-5.464842285679682,-1.9520014057645882,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3B5_HO_D0006,F3BBG_N015_A0_Q001_R005,SYNTHETIC_QPP_PRESENT,False,-5.511518062208351,-1.9475362104504006,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,54.63703407270267,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3B5_HO_D0007,F3BBG_N015_A0_Q001_R007,SYNTHETIC_QPP_ABSENT,False,-5.504511092694576,-1.912124853967982,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3B5_HO_D0008,F3BBG_N015_A0_Q001_R007,SYNTHETIC_QPP_PRESENT,False,-5.468885387108768,-1.9187339723602603,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,53.51076849499034,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,F3B5_HO_D0009,F3BBG_N015_A0_Q001_R009,SYNTHETIC_QPP_ABSENT,False,-5.494845973059865,-1.910724063582193,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R009:POS:PRIMARY,F3B5_HO_D0010,F3BBG_N015_A0_Q001_R009,SYNTHETIC_QPP_PRESENT,False,-5.528987135642579,-1.8338105106111167,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,51.937726690268164,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,F3B5_HO_D0011,F3BBG_N015_A0_Q001_R010,SYNTHETIC_QPP_ABSENT,False,-5.616899842824365,-1.9009388429934644,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3B5_HO_D0012,F3BBG_N015_A0_Q001_R010,SYNTHETIC_QPP_PRESENT,False,-5.57917077436926,-1.9239663066968697,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,50.86241770981439,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3B5_HO_D0013,F3BBG_N015_A0_Q001_R011,SYNTHETIC_QPP_ABSENT,False,-5.454697255434242,-1.9203321053196563,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3B5_HO_D0014,F3BBG_N015_A0_Q001_R011,SYNTHETIC_QPP_PRESENT,False,-5.429007609608778,-1.9415914387509945,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,15,0.0,0.01,64.02697421060395,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3B5_HO_D0015,F3BBG_N015_A0_Q001_R014,SYNTHETIC_QPP_ABSENT,False,-5.500679753173278,-1.9220367980298674,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
