simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,classifier_decision_expected,classifier_decision_present,planned_decision_id,decision_status,qpp_selected,truth_join_status
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3BBG_N015_A0_Q001_R002,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0001,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3BBG_N015_A0_Q001_R002,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0002,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3BBG_N015_A0_Q001_R004,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0003,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3BBG_N015_A0_Q001_R004,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0004,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3BBG_N015_A0_Q001_R005,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0005,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3BBG_N015_A0_Q001_R005,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0006,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3BBG_N015_A0_Q001_R007,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0007,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3BBG_N015_A0_Q001_R007,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0008,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R009:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R009,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R009:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R009,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
