afino_commit,afino_effective_dt_s,afino_version,background_realization_id,bic,bound_parameters_json,completed_at_utc,convergence_status,decision_class,error,external_optimizer_seed,formal_m1_period_s,job_id,job_order,log_likelihood,maximum_frequency_hz,minimum_frequency_hz,model_id,model_name,parameter_at_bound,parameters_json,payload_logical_sha256,planned_decision_id,positive_frequency_bin_count,post_cutoff_bin_count,probability,rchi2,result_core_sha256,runtime_seconds,simulation_unit_id,status,warning_count,warning_types_json,warnings_json
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,-4.747852022309797,[],2026-08-24T21:58:29.510004+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00001,1,4.319836160210212,0.023333333333333334,0.0033333333333333335,M0,pow_const,0,"[1.2933778957866908,2.565230550414395,-4.008821999670481]",d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,F3B5_HO_D0001,7,7,0.8536643944187813,0.06359024850315548,7835de4297df98b9a1dd6c4edbe472c0e69b147f7166adfd07cbfee8c3ee592e,0.1967127999814693,F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,0.8227025342663197,[],2026-08-24T21:58:30.264609+00:00,NOT_AUDITABLE,BASELINE,,0,132.25037552050702,F3B5_HO_J00002,2,4.453424105505123,0.023333333333333334,0.0033333333333333335,M1,pow_const_gauss,0,"[1.0762143741243166,2.7082401965500327,-3.435853910640815,-1.4395407762490666,-4.884696910208911,0.1071948308252868]",d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,F3B5_HO_D0001,7,7,0.7693763984802494,0.007649332036441527,ec9a6dab99301e37c0e397f57cb7b6acc46e22cb42ce077fbdf1fb26183f9a82,0.7508280999900308,F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,-1.113594312328929,[],2026-08-24T21:58:30.538355+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00003,3,4.448617454275091,0.023333333333333334,0.0033333333333333335,M2,bpow_const,0,"[-4.636145102635684,1.0011214179626704,0.0055545679237352956,3.8942472685435257,-3.157101511987274]",d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,F3B5_HO_D0001,7,7,0.8687916872660224,0.008679979008683555,d350c0755b223a57be890b277208a9a61ae17d4c2cd0cf84728a2e490ebbfdc0,0.27112630000920035,F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,-4.446961181641665,[],2026-08-24T21:58:30.726791+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00004,4,4.169390739876146,0.023333333333333334,0.0033333333333333335,M0,pow_const,0,"[1.31871614858547,2.660495488777827,-3.61751576751003]",5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,F3B5_HO_D0002,7,7,0.8356602728493732,0.07695340141352584,cbcad36421653227a0184a060c22ba31f9335e9566ef3099c3c824e136edff50,0.18541320000076666,F3BBG_N015_A0_Q001_R002:POS:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,1.0524782008188076,"[{""bound"":0.25,""parameter_index"":5,""side"":""upper"",""value"":0.25}]",2026-08-24T21:58:31.431443+00:00,NOT_AUDITABLE,BASELINE,,0,171.12510395837518,F3B5_HO_J00005,5,4.338536272228879,0.023333333333333334,0.0033333333333333335,M1,pow_const_gauss,1,"[1.0574022010416535,3.0099775618061533,-3.0769070966667793,-0.985167513869109,-5.142394891108064,0.25]",5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,F3B5_HO_D0002,7,7,0.8534858268560624,0.0012444314091912348,78068c9f08580fe4ef1f0e847b88efdf8e5667e6810a3f672270030c083ae93f,0.7013510999968275,F3BBG_N015_A0_Q001_R002:POS:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R002,-0.8941834606570227,[],2026-08-24T21:58:31.722676+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00006,6,4.338912028439138,0.023333333333333334,0.0033333333333333335,M2,bpow_const,0,"[-4.675990705575523,1.0076633032324627,0.005712813728127423,4.26444577194943,-2.9872534335073113]",5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,F3B5_HO_D0002,7,7,0.9523222426244914,0.0005823337804987019,d800658e60a82a8ac8bb46f36de336b3d5bde34f0069647057593d128bfbcca5,0.28812440001638606,F3BBG_N015_A0_Q001_R002:POS:PRIMARY,OK,23,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]","[{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":31,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""}]"
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R004,-5.091926518663133,[],2026-08-24T21:58:31.979445+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00007,7,4.49187340838688,0.023333333333333334,0.0033333333333333335,M0,pow_const,0,"[1.218932425612602,2.348858838845769,-19.243770622809016]",7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,F3B5_HO_D0003,7,7,0.8434355022268706,0.07105159406750347,dbd3b8c4a2d906fcc0cd8bfa4b9c477f4485ac95b7076af730b701643997f721,0.2528543999942485,F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R004,0.4990690963755178,[],2026-08-24T21:58:32.659096+00:00,NOT_AUDITABLE,BASELINE,,0,215.84433339615208,F3B5_HO_J00008,8,4.615240824450524,0.023333333333333334,0.0033333333333333335,M1,pow_const_gauss,0,"[0.43980574972400555,1.8943414955853979,-11.166032364409313,3.5581475146319965,-5.374557469148901,0.10965126767875896]",7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,F3B5_HO_D0003,7,7,0.6098584826103405,0.06334607502904942,d19b4bfcaf69ba8fbb9a39970d7058b6316e1f3f857911dc1d01b805219108cb,0.6757025000115391,F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,OK,0,[],[]
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R004,-1.2741108453403394,[],2026-08-24T21:58:32.914507+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00009,9,4.528875720780796,0.023333333333333334,0.0033333333333333335,M2,bpow_const,0,"[-7.303162716391016,1.4698988444932233,0.005405924615425638,2.916546716784628,-4.060109673192457]",7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,F3B5_HO_D0003,7,7,0.69424955576588,0.08456835122956019,0e0dd1390481fed1cd2ac384e34dace19682020fac8bc204ca8b27bb9030469a,0.2514660000160802,F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,OK,17,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]","[{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":72,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""afino_spectral_models.py"",""lineno"":73,""message"":""overflow encountered in exp""},{""category"":""RuntimeWarning"",""filename"":""_numdiff.py"",""lineno"":710,""message"":""invalid value encountered in subtract""}]"
6aceac9518fc8056052807e666da9d0c8bebb010,20.0,0.5,F3BBG_N015_A0_Q001_R004,-4.949235870224543,[],2026-08-24T21:58:33.158619+00:00,NOT_AUDITABLE,BASELINE,,0,,F3B5_HO_J00010,10,4.420528084167585,0.023333333333333334,0.0033333333333333335,M0,pow_const,0,"[1.2275073066613302,2.3475308815973825,-19.24377113019101]",920a7b3b0d4007f0c645b9f3949238ba0ca551a1be011f6526ba5e248455fdac,F3B5_HO_D0004,7,7,0.8280296411454706,0.08293797901446186,0a9bed366c91a526e4ed18922976cba6110cd669ed5ef29b37424717bb781cec,0.24088479997590184,F3BBG_N015_A0_Q001_R004:POS:PRIMARY,OK,0,[],[]
