planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0001,1,BASELINE,F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,0,d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0002,2,BASELINE,F3BBG_N015_A0_Q001_R002:POS:PRIMARY,0,5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0003,3,BASELINE,F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,0,7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0004,4,BASELINE,F3BBG_N015_A0_Q001_R004:POS:PRIMARY,0,920a7b3b0d4007f0c645b9f3949238ba0ca551a1be011f6526ba5e248455fdac,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0005,5,BASELINE,F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,0,0f659bb709c911751ac51a021e6c3ceba3be2fb1a7c40425fefa6e19445a1a8d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0006,6,BASELINE,F3BBG_N015_A0_Q001_R005:POS:PRIMARY,0,35cb553df5d586bc5343d623ed42a9d3e5eb108cd86ccb99f95e1a762b2b8cbd,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0007,7,BASELINE,F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,0,64c665040a276ff31620848798af0172fd26085115a64c98c546387004075ac4,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0008,8,BASELINE,F3BBG_N015_A0_Q001_R007:POS:PRIMARY,0,4be0d555fc26f2a3afb579874532655599e7a7b89044059f203da04deb098ddf,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0009,9,BASELINE,F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,0,d8f09d043f16fd9ac381066081c9c7b595a098aa053d040d8b2dc9fcd9aac466,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0010,10,BASELINE,F3BBG_N015_A0_Q001_R009:POS:PRIMARY,0,63c5c6b3f835ae6f63a4a136ceb1131db1988ba7b5775f5b71be0a00eb86ee90,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0011,11,BASELINE,F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,0,73fdabc6ddefa51169ab35a0003d88b6ba99d7ab9ca7a8cc649f1bf4925fa09d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0012,12,BASELINE,F3BBG_N015_A0_Q001_R010:POS:PRIMARY,0,6cff01eec2cc788026bee9423476ed9ce529d0976794235064ca013afc174861,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0013,13,BASELINE,F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,0,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0014,14,BASELINE,F3BBG_N015_A0_Q001_R011:POS:PRIMARY,0,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0015,15,BASELINE,F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,0,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0016,16,BASELINE,F3BBG_N015_A0_Q001_R014:POS:PRIMARY,0,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0017,17,BASELINE,F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,0,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0018,18,BASELINE,F3BBG_N015_A0_Q001_R015:POS:PRIMARY,0,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0019,19,BASELINE,F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,0,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
