background_realization_id,split,n_samples,duration_s,red_noise_alpha,positive_pair_qpp_fraction,split_rank_sha256,challenge_rank_sha256,background_entropy,period_entropy,noise_offset,noise_length,noise_sha256,phase_rad,phase_sha256_or_canonical_repr,true_period_s,period_upper_bound_s,cycles_in_window,generation_status,generation_failure_reason,redraw_count
F3BBG_N015_A0_Q001_R002,HELDOUT,15,280.0,0.0,0.01,b7e1f2c7d4d2ae7389a4b2de977bce2ad46184ecb7b2d91d5bb0b9e8157e6220,c0cb20c1a024ec9ff75447e878c2e578ff5f07cd7e29b5a0a18ab6b3a1f6665e,299928272994597498261908459594689207646,315886210672466631468144957736888610002,0,15,ca8f774291c7d5b9b975e21a71613e9613e686bd8e0c3178ba7271c88966ffa0,2.603297633078057,a696a613b5499b5ad166b364edd18c281aac1e5ed8b1c6df50dc15a40c36e7bd,51.120109154982586,93.33333333333333,5.477296598704718,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R004,HELDOUT,15,280.0,0.0,0.01,cda03e70af5d696454e4df21e9dcf651845c53e1729d66b857a39f068d1da17a,92e48d673414907290e32d9cbd8fd5abb359d52d7d322ca9e95f17003442468a,246078405651756676533680821103861873385,210512545050963405949030549754003608927,15,15,f8af705071024d4a30e853e49247f916f287c4b694a3e60979a294af4dcb07ae,0.19576967295194705,8816ef032d3d759e2a19e5a1092460e2f438b7a0155057c96a1528cf3a1b374f,48.46813880196211,93.33333333333333,5.776990966046027,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R005,HELDOUT,15,280.0,0.0,0.01,e2c72d200c3182e5ef354b666e05eda8166db13191fc8f14bcb491ba33f85f21,61a2f49e9e73fe7e74b172d7c7da2d64773e89d8476ee18bbd8a142278b8e052,321971061563895741697112033262026488426,282987295920128601509053900291346334456,30,15,80b22ae972c96068fd0470d03331cb908a7ced7203bf47db94685c79c6c027d2,0.7587722940188564,789f61cb56b3ea73cd06649bf71aad59ed6f874c7a0cbff7f9642636be54e103,54.63703407270267,93.33333333333333,5.124729128367739,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R007,HELDOUT,15,280.0,0.0,0.01,db42ee23a1e7241edc53938ab5a991dc8b2df1faf3d0cc134d2a510bbaa09925,a181a9411bdbea75b061a6d205073fb1355c9ff60a0394f3923737d6e30e2869,56711975621503680959058580345762211196,9890760815490224892095579060006860614,45,15,b9aa2733f81ccadb50fa6258b4766dce4c1648e8fd89987d07947ef8328fa90a,4.021596926079069,a9c84c623805bc2049591ab1a67ebefd9d09f96bf1f62cff3e50cecb22e5509a,53.51076849499034,93.33333333333333,5.232591642301185,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R009,HELDOUT,15,280.0,0.0,0.01,e2999d31979b6e17466664e8dbace6db67e02a35f959c800479ecb135ba917ea,215e797e31e482b61a603cfefefee9e6379025270b0713ee3d05ce7b185260a3,58850448706775248895647075130664523054,308774276788645456707549716924046920380,60,15,e6898a560606c3f635179aa5d54fade4a6b0c4c0c899b2826029e5a6639cb3ea,5.919110063834428,a9c259e3673d9251507857dfd3a97d237f17d26f1d738c3aa3e1e96de1cc1e33,51.937726690268164,93.33333333333333,5.3910715359142785,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R010,HELDOUT,15,280.0,0.0,0.01,9b4152b48d6f664b42c097e9902980c887a9aa5c6f514edfbdffb45afd9138cc,5d95559fa1b825d8fe56f9c78212176608a118133f182057235378de813dd054,171730358900526321862022907238947596641,251713792889805001234002874987490954017,75,15,14ed71fce19ad1a302a2838812589ac479d2398a0f6575983da2bfaa6142e3b1,2.411936595303881,952755e577ba5fcde6d3c381bf69cf446c6a6cd2c80ea07c5a2f97697aae8100,50.86241770981439,93.33333333333333,5.505046999485661,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R011,HELDOUT,15,280.0,0.0,0.01,bdad031da19ea1a56a90dfa10c4492e709642848578f7b4a4a3271ace077e326,b153e8620b56ffaafc731a5365f91f2cac20bc1447219dbef7fbab23ca70b9c2,8289438666262056276981650750471936910,289851306822479855060031826858651664206,90,15,99ddb36674ac07d716ac54eb8b056090411045523d39d92b905aa65b38793e12,2.8255270299587045,d0194911d873ecde65986ffe7a5c02e69a3b1580c14c34ab473a3343b3a62f5a,64.02697421060395,93.33333333333333,4.373156836663808,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R014,HELDOUT,15,280.0,0.0,0.01,c3da5cbd0365f5f9067d444f2e6577612227ca785b6060cab2985611dbc09901,9e24cffe52d4b83a085c0d871659440e6ca3c203dfda5c599b6ddaa31aaddc94,46812775585642179661605263088133259410,202708805838779841168123632859450231680,105,15,b7fd2831b558b125f22e943cc5e56f099a404868d0e84f11308318f6ce2900a0,3.621876328801864,64dc757f544075710c2fc6604111edfa1cbfe4d8f26ab7ebf2491548aa0c00fb,80.93630295642339,93.33333333333333,3.4595106246791842,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R015,HELDOUT,15,280.0,0.0,0.01,d2dabcb4ddd69e9d9ba59724591fa515b7f1d0fe069d8c939be2b43bceaa9ce8,32f905d0842e13bc3d25ef1c1d29ac54cfd2b44f5ab2c6243addac5366aa54ed,153205480010986000347410673061017437993,300902514531669486621388460083295938018,120,15,b32b4dd30500948ba0d1ca93a61ae33d1a7d807fd40bc44e5b934b77309af455,1.2524194784697846,6a353dfffaeab31a778a7d6785975a937f9ec980eaf66516a7508f36df71ce20,80.86188936901115,93.33333333333333,3.462694257887386,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R016,HELDOUT,15,280.0,0.0,0.01,d6d867312fb1d1d51bfbcfd15b9039961ad07012c2be29d66e073e8483f1d4e2,b4034a7fcd9cc6cc817013e944eceb83aeba2ede0f802e1fbfe98815991cefa6,23501704609915309416537073880572808864,112357095668380698075230481725898695164,135,15,999f3c5b92eb4d0f068842548b757c4ae77949d1faf58fc87279d6bb097c7e68,1.96570557036194,f540738c6c067b625c6893366034be0cf234eae1bb99332aa5ff21170b65b03c,41.28284297079541,93.33333333333333,6.782478624305974,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R017,HELDOUT,15,280.0,0.0,0.01,a290769890066388ddb5367b785de729c24fafdf3ced23e0479780653c8bf206,5ffeaf2c4e00bf8ec6f16b3968606b15417db36d781f0444f855009e59a910a5,163809060178054046934430714293069031230,34443726350048783655581046208906073571,150,15,7aee149da0d12a2ddfad4bb92809207ce842c6ad0da58bd27b75820d630bcb0e,1.5302234823765042,d4cc202dec52e36e22a2fb3042b74c23c3d3675d366a3db914811eb68f8d49b9,68.50697579013071,93.33333333333333,4.087175017880989,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R018,HELDOUT,15,280.0,0.0,0.01,dcfec6ec7925384f4842ffcb7e19ec5baa2c773fbb145200a19aa2a622e87faf,b23a96e664e76fb1259fb98f8e2c317dd24b91644b85849acefc2c57c89d8454,246158981120399036783863985826302384721,312623194156289631297365967408787325880,165,15,8e79d99c4dfc53152bab86aa91beab1e1fa7f7df30569796bce0c84ba0b8c473,5.245521009552805,3636ec930c4e5fc9b25d69261025229c6668d224b769f4f2bcf4f8d3e1b3b4f9,75.94053852599221,93.33333333333333,3.687095264726945,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R020,HELDOUT,15,280.0,0.0,0.01,9d030b9b96b0bd0574af77837d9a00ff0f67751f03c617fa5c4b03264511a852,bbd9efa17a6b52b8027a6d79fc426ed36b3a7df9e9621f1e20bffce0a1ebc036,83591824643251583495408278053110762224,308529088107836238146662859612300712769,180,15,2699d92644d7b4f7fd623870e27e6ef96703c5cbba63a53e6dca84e9ee40286c,0.3307389980901808,88d18731e35f3498e55fbd321cc400c9cebb0ef9da43835aa8b46f1e5ebff0dc,71.8767845544065,93.33333333333333,3.89555545279097,MATERIALIZED,,0
F3BBG_N015_A0_Q001_R021,HELDOUT,15,280.0,0.0,0.01,d7e0430e6071827d4a90a21fb26926e015de3a538f431093ba8b94d93d710a80,e210d17188b410b8810bd5ef78a1bdf4e97fb20344b6370a84c921b396cbad65,305600349335372097532640329313629143587,167372339571959357312623237042761266062,195,15,b372c1d28731e889efef62adf078b459368f804b91203f9f008cfebae9c07a4f,2.3400988986515894,77d98e80d60743f64dc52a01e67d574d77d9ac64e989a6763f2ee74828ca6358,54.33094286960288,93.33333333333333,5.153600972322802,MATERIALIZED,,0
