simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3BBG_N015_A0_Q001_R002,latent_flux.npy,0,15,aa50e63f28ebb6eb66baf71e7bac366fd97996e6a83fc633c293cabde368810e,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,0,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aa50e63f28ebb6eb66baf71e7bac366fd97996e6a83fc633c293cabde368810e,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,MATERIALIZED
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3BBG_N015_A0_Q001_R002,latent_flux.npy,15,15,9b593e85882bf1f04f117ae69b870f17c8d33e0ec39b438bd3a306767ca87156,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,15,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,9b593e85882bf1f04f117ae69b870f17c8d33e0ec39b438bd3a306767ca87156,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,MATERIALIZED
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3BBG_N015_A0_Q001_R004,latent_flux.npy,30,15,90dce5f4f738f10a4f8a106967f43447543b304bf51a2e81c1c24cdf0aef20e9,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,30,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,90dce5f4f738f10a4f8a106967f43447543b304bf51a2e81c1c24cdf0aef20e9,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,MATERIALIZED
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3BBG_N015_A0_Q001_R004,latent_flux.npy,45,15,ea1d2b77116301ad42af8c030e07014bed684d158a296c5aca40bbb625423090,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,45,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,ea1d2b77116301ad42af8c030e07014bed684d158a296c5aca40bbb625423090,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,920a7b3b0d4007f0c645b9f3949238ba0ca551a1be011f6526ba5e248455fdac,MATERIALIZED
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3BBG_N015_A0_Q001_R005,latent_flux.npy,60,15,08226349d195a6b99580fd000e91bd245df152f66c7dce0ed33bcec882d94b91,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,60,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,08226349d195a6b99580fd000e91bd245df152f66c7dce0ed33bcec882d94b91,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,0f659bb709c911751ac51a021e6c3ceba3be2fb1a7c40425fefa6e19445a1a8d,MATERIALIZED
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3BBG_N015_A0_Q001_R005,latent_flux.npy,75,15,7b81f7f73cd57ddc612622c201241b92996e8d9737290fcf3589d9932506d8fe,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,75,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,7b81f7f73cd57ddc612622c201241b92996e8d9737290fcf3589d9932506d8fe,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,35cb553df5d586bc5343d623ed42a9d3e5eb108cd86ccb99f95e1a762b2b8cbd,MATERIALIZED
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3BBG_N015_A0_Q001_R007,latent_flux.npy,90,15,0b505d5fbfeeb07b665de35990089ad4c5153130ce381b14989bff75dcf130c8,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,90,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,0b505d5fbfeeb07b665de35990089ad4c5153130ce381b14989bff75dcf130c8,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,64c665040a276ff31620848798af0172fd26085115a64c98c546387004075ac4,MATERIALIZED
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3BBG_N015_A0_Q001_R007,latent_flux.npy,105,15,847ab5423f2761e88110b431694a4b44c6b2b8ad6d0506f1f8f1cb983a1448f9,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,105,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,847ab5423f2761e88110b431694a4b44c6b2b8ad6d0506f1f8f1cb983a1448f9,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,4be0d555fc26f2a3afb579874532655599e7a7b89044059f203da04deb098ddf,MATERIALIZED
F3BBG_N015_A0_Q001_R009:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R009,latent_flux.npy,120,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,120,14,bacb2084cffa7e192b547fb33bf65156730707f050c1f65bd7d8766d94159529,82e0a97e636fa879070c58b1aacb01e85ffd364c7e949d90ad37d3ed8e3c63f4,9ea3de3ed41f0ae4005106092e9181d5e77bdd0cd210be19bb6d630ff2cf167e,fc51209378ac5bba2436058c160910f27e871968044259e4e527b656162f61ea,MATERIALIZED
F3BBG_N015_A0_Q001_R009:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R009,latent_flux.npy,135,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,134,14,7f5053474020dc1783f3ec0ef352752ec1fca35ff185dc4ecf238979b8a5807c,8fa7c3b7557fc807b0fb005f22f99fc66babc1a460644f520fa7702c8b69e4f9,f3dbe634383522f49a4af8340ca3cd6ebef5c716cc67f83edc230b6470a1b9fa,d2cb8bb8e725dd8d270558978ca16946c73e7bcecfe1af888a8b8b1b78d0d113,MATERIALIZED
F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,F3BBG_N015_A0_Q001_R009,latent_flux.npy,150,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,148,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d8f09d043f16fd9ac381066081c9c7b595a098aa053d040d8b2dc9fcd9aac466,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R009,latent_flux.npy,165,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,163,14,bacb2084cffa7e192b547fb33bf65156730707f050c1f65bd7d8766d94159529,26e8d451b3370175d523f7f50d85e8c5cb62f9da465cb4931a3224103e2783f1,9ea3de3ed41f0ae4005106092e9181d5e77bdd0cd210be19bb6d630ff2cf167e,83db7abb23743baeedd12c0fe929fd6bc95d56c9025e55d67c5992e203699a44,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:PEAKMASK,F3BBG_N015_A0_Q001_R009,latent_flux.npy,180,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,177,14,7f5053474020dc1783f3ec0ef352752ec1fca35ff185dc4ecf238979b8a5807c,0e6868b8ec4a3cf76c5372bbc4a1b271d354cf971b8214a2fa858e64baa4f666,f3dbe634383522f49a4af8340ca3cd6ebef5c716cc67f83edc230b6470a1b9fa,8d669db96ed27cd90022c20bc21432b5cff9ba6329f1d86def1f7ab18aecd933,MATERIALIZED
F3BBG_N015_A0_Q001_R009:POS:PRIMARY,F3BBG_N015_A0_Q001_R009,latent_flux.npy,195,15,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,191,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,689f859603a91bae58c2edf7efeee8261f26082d3421df8f9b57afb66a270064,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,63c5c6b3f835ae6f63a4a136ceb1131db1988ba7b5775f5b71be0a00eb86ee90,MATERIALIZED
F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,F3BBG_N015_A0_Q001_R010,latent_flux.npy,210,15,8c41b2af03f58e918dd37fee5760ecb30582e020c82aa4479ae28f952debd8fe,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,206,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,8c41b2af03f58e918dd37fee5760ecb30582e020c82aa4479ae28f952debd8fe,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,73fdabc6ddefa51169ab35a0003d88b6ba99d7ab9ca7a8cc649f1bf4925fa09d,MATERIALIZED
F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3BBG_N015_A0_Q001_R010,latent_flux.npy,225,15,aa6d1d35b94154a12b04fad2858cbbb5898ee34a180420ed199b270f2a6e0df5,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,221,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aa6d1d35b94154a12b04fad2858cbbb5898ee34a180420ed199b270f2a6e0df5,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,6cff01eec2cc788026bee9423476ed9ce529d0976794235064ca013afc174861,MATERIALIZED
F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,latent_flux.npy,240,15,aeb1e2ab0f728fdbbab81ba33eb8fdb8ea038dd8a07af33027a0d1de882cbfeb,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,236,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aeb1e2ab0f728fdbbab81ba33eb8fdb8ea038dd8a07af33027a0d1de882cbfeb,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,MATERIALIZED
