simulation_unit_id,background_realization_id,split,truth_state,evidence_plane,gap_quality_regime,n_samples,red_noise_alpha,qpp_fraction,true_period_s,qpp_phase_rad,signal_family,latent_offset,latent_length,latent_flux_sha256,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,input_state,inadmissibility_reasons,primary_inadmissibility_reason,materialization_status
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3BBG_N015_A0_Q001_R002,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,0,15,aa50e63f28ebb6eb66baf71e7bac366fd97996e6a83fc633c293cabde368810e,0,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,aa50e63f28ebb6eb66baf71e7bac366fd97996e6a83fc633c293cabde368810e,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3BBG_N015_A0_Q001_R002,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,51.120109154982586,2.603297633078057,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,15,9b593e85882bf1f04f117ae69b870f17c8d33e0ec39b438bd3a306767ca87156,15,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,9b593e85882bf1f04f117ae69b870f17c8d33e0ec39b438bd3a306767ca87156,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3BBG_N015_A0_Q001_R004,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,30,15,90dce5f4f738f10a4f8a106967f43447543b304bf51a2e81c1c24cdf0aef20e9,30,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,90dce5f4f738f10a4f8a106967f43447543b304bf51a2e81c1c24cdf0aef20e9,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3BBG_N015_A0_Q001_R004,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,48.46813880196211,0.19576967295194705,STATIONARY_ENVELOPE_MODULATED_SINUSOID,45,15,ea1d2b77116301ad42af8c030e07014bed684d158a296c5aca40bbb625423090,45,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,ea1d2b77116301ad42af8c030e07014bed684d158a296c5aca40bbb625423090,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,920a7b3b0d4007f0c645b9f3949238ba0ca551a1be011f6526ba5e248455fdac,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3BBG_N015_A0_Q001_R005,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,60,15,08226349d195a6b99580fd000e91bd245df152f66c7dce0ed33bcec882d94b91,60,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,08226349d195a6b99580fd000e91bd245df152f66c7dce0ed33bcec882d94b91,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,0f659bb709c911751ac51a021e6c3ceba3be2fb1a7c40425fefa6e19445a1a8d,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3BBG_N015_A0_Q001_R005,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,54.63703407270267,0.7587722940188564,STATIONARY_ENVELOPE_MODULATED_SINUSOID,75,15,7b81f7f73cd57ddc612622c201241b92996e8d9737290fcf3589d9932506d8fe,75,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,7b81f7f73cd57ddc612622c201241b92996e8d9737290fcf3589d9932506d8fe,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,35cb553df5d586bc5343d623ed42a9d3e5eb108cd86ccb99f95e1a762b2b8cbd,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3BBG_N015_A0_Q001_R007,HELDOUT,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,90,15,0b505d5fbfeeb07b665de35990089ad4c5153130ce381b14989bff75dcf130c8,90,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,0b505d5fbfeeb07b665de35990089ad4c5153130ce381b14989bff75dcf130c8,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,64c665040a276ff31620848798af0172fd26085115a64c98c546387004075ac4,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3BBG_N015_A0_Q001_R007,HELDOUT,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,15,0.0,0.01,53.51076849499034,4.021596926079069,STATIONARY_ENVELOPE_MODULATED_SINUSOID,105,15,847ab5423f2761e88110b431694a4b44c6b2b8ad6d0506f1f8f1cb983a1448f9,105,15,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,847ab5423f2761e88110b431694a4b44c6b2b8ad6d0506f1f8f1cb983a1448f9,4107167d6f03f7cb8e829358a6fb9c09ff16b19adc550b79d4874e76e96849bb,4be0d555fc26f2a3afb579874532655599e7a7b89044059f203da04deb098ddf,ELIGIBLE_FOR_AFINO,,,MATERIALIZED
F3BBG_N015_A0_Q001_R009:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,120,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,120,14,bacb2084cffa7e192b547fb33bf65156730707f050c1f65bd7d8766d94159529,82e0a97e636fa879070c58b1aacb01e85ffd364c7e949d90ad37d3ed8e3c63f4,9ea3de3ed41f0ae4005106092e9181d5e77bdd0cd210be19bb6d630ff2cf167e,fc51209378ac5bba2436058c160910f27e871968044259e4e527b656162f61ea,INPUT_INADMISSIBLE,TOO_FEW_CADENCES|IRREGULAR_SAMPLING,TOO_FEW_CADENCES,MATERIALIZED
F3BBG_N015_A0_Q001_R009:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R009,HELDOUT,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,135,15,6663783c16db16e297e107fee0701740c1512019ab1426ea68eadf6cc0d644e2,134,14,7f5053474020dc1783f3ec0ef352752ec1fca35ff185dc4ecf238979b8a5807c,8fa7c3b7557fc807b0fb005f22f99fc66babc1a460644f520fa7702c8b69e4f9,f3dbe634383522f49a4af8340ca3cd6ebef5c716cc67f83edc230b6470a1b9fa,d2cb8bb8e725dd8d270558978ca16946c73e7bcecfe1af888a8b8b1b78d0d113,INPUT_INADMISSIBLE,PEAK_REMOVED_BY_QUALITY|TOO_FEW_CADENCES|IRREGULAR_SAMPLING,PEAK_REMOVED_BY_QUALITY,MATERIALIZED
