simulation_unit_id,truth_state,synthetic_ground_truth_known,qpp_component_present,true_period_s,qpp_fraction,qpp_phase_rad,signal_family,n_samples,red_noise_alpha,gap_quality_regime,truth_source,truth_sha256
F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,a1168285a01781687fda7655c6139dd8ef496920f4fdd7cce105f350d44121f8
F3BBG_N015_A0_Q001_R002:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,51.120109154982586,0.01,2.603297633078057,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,8e6a9ad5064607648713e0db7f4c8ac8abd1d2177ea8b20c2300d0dee10c42ee
F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,dc7f3c1f4c55a071e88eb1948df9a3542f8e53f6480425994b7f4a7783605dc9
F3BBG_N015_A0_Q001_R004:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,48.46813880196211,0.01,0.19576967295194705,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,9717580c869ad8b112eb0447a90d78f8be61b0c78685652833b7fa0ff2ecaedf
F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,24ff5ab582c9bc1acbcd06f3ed6d9ec9aab33e31ac54abc8886a0c6c772d9277
F3BBG_N015_A0_Q001_R005:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,54.63703407270267,0.01,0.7587722940188564,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,4bf5a4400e3f0952772a97c1e854883556b184fe9830f51d6fe2e4469119157c
F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,446538a1c6fe17f44f6d83fece2f724a4be84585b938194ac352c617b95f0d76
F3BBG_N015_A0_Q001_R007:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,53.51076849499034,0.01,4.021596926079069,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,fb6372bc996acf4e09df3af91b000bcbee74fd8a3833f92eab471f26ed2f8542
F3BBG_N015_A0_Q001_R009:NULL:INTERNALMASK,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,F3B2_FROZEN_GENERATOR_BINDING,1206d67faad544bcb9472f791733e2ce16782166d1f959b8aa455f651b792101
F3BBG_N015_A0_Q001_R009:NULL:PEAKMASK,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,PEAK_SAMPLE_MASKED,F3B2_FROZEN_GENERATOR_BINDING,e2d638c0264d6bce055ce18961bb3cc5f0355f74f4da6250aca7af47891e50ee
F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,SYNTHETIC_QPP_ABSENT,True,False,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NONE,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,1cb66dfbe770824d6efad959633a1f912e35183d6faa215e8c16e6a0d7f03eff
F3BBG_N015_A0_Q001_R009:POS:INTERNALMASK,SYNTHETIC_QPP_PRESENT,True,True,51.937726690268164,0.01,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,F3B2_FROZEN_GENERATOR_BINDING,91d7978138537687f1352f3fa4bf797b2fe962e5965e48b73dedefc4fbd4e5ed
F3BBG_N015_A0_Q001_R009:POS:PEAKMASK,SYNTHETIC_QPP_PRESENT,True,True,51.937726690268164,0.01,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,PEAK_SAMPLE_MASKED,F3B2_FROZEN_GENERATOR_BINDING,d0468c0a88e184e21f7c95e747780f5e27efdf850e5d9978d5ad92b212e43485
F3BBG_N015_A0_Q001_R009:POS:PRIMARY,SYNTHETIC_QPP_PRESENT,True,True,51.937726690268164,0.01,5.919110063834428,STATIONARY_ENVELOPE_MODULATED_SINUSOID,15,0.0,CONTIGUOUS_ALL_GOOD,F3B2_FROZEN_GENERATOR_BINDING,efb347d2047f48518cffae603da080520f27e9310fdb36e3b1a1089e98035473
